family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components,kernel_fit_components
laplace_kernel4,0.4,4,0.007561167601980666,0.05917621698245855,7.8263331931641344,0.02758753034375161,4,4
laplace_kernel4,0.4,6,0.006532645194406494,0.05917621698245855,9.05853834418063,0.04147480634375711,4,4
laplace_kernel4,0.4,8,0.006004535169342497,0.05917621698245855,9.855253623060786,0.058468970125005626,4,4
laplace_kernel4,0.4,12,0.004357400481813699,0.05917621698245855,13.580623867243752,0.11078970043749337,4,4
laplace_kernel4,0.4,16,0.003986973792830171,0.05917621698245855,14.842389254947184,0.17698324959374645,4,4
laplace_kernel4,0.8,1,0.05368568170677173,0.05390451559103472,1.004076205746222,0.008698411375007709,4,4
laplace_kernel4,0.8,2,0.026184287993670893,0.05390451559103472,2.0586588263948284,0.014626108093750645,4,4
laplace_kernel4,0.8,3,0.017952469766677696,0.05390451559103472,3.002623944872982,0.020473407593755155,4,4
laplace_kernel4,0.8,4,0.014687636961051345,0.05390451559103472,3.6700604551963423,0.027614231062500494,4,4
laplace_kernel4,0.8,6,0.012250225853924022,0.05390451559103472,4.400287491333713,0.04192264412499469,4,4
laplace_kernel4,0.8,8,0.010887516689905587,0.05390451559103472,4.951038618476934,0.05963086996874267,4,4
laplace_kernel4,0.8,12,0.008754633357165968,0.05390451559103472,6.157255637314842,0.10988382096874716,4,4
laplace_kernel4,0.8,16,0.008108851208115823,0.05390451559103472,6.647614342347762,0.17532984853124844,4,4
laplace_kernel4,1.6,1,0.02330855003584951,0.020529800874035005,0.8807841261021953,0.008525825687499378,4,4
laplace_kernel4,1.6,2,0.019386379913372106,0.020529800874035005,1.058980633092525,0.014611891843756553,4,4
laplace_kernel4,1.6,3,0.015199386664187544,0.020529800874035005,1.350699296466144,0.02101000412500298,4,4
laplace_kernel4,1.6,4,0.014860180512456527,0.020529800874035005,1.3815310558862945,0.02765092312500883,4,4
laplace_kernel4,1.6,6,0.013563192771577717,0.020529800874035005,1.5136407201301547,0.04278045218750037,4,4
laplace_kernel4,1.6,8,0.01350869978819047,0.020529800874035005,1.5197466222457987,0.05986884078124888,4,4
laplace_kernel4,1.6,12,0.013277973092512477,0.020529800874035005,1.5461547279088759,0.10762865634374918,4,4
laplace_kernel4,1.6,16,0.013274855729959598,0.020529800874035005,1.546517814706035,0.17233214400000918,4,4
laplace_kernel8,0.02,1,0.03972233442573856,0.03972297925271237,1.0000162333604792,0.015983863374998464,8,8
laplace_kernel8,0.02,2,0.03252105018592922,0.03972297925271237,1.2214543818729195,0.03236274918749871,8,8
laplace_kernel8,0.02,3,0.02202013632084903,0.03972297925271237,1.8039388436983468,0.05383735893749986,8,8
laplace_kernel8,0.02,4,0.008743720235343123,0.03972297925271237,4.543029532457765,0.0716450349687392,8,8
laplace_kernel8,0.02,6,0.0020982631792619832,0.03972297925271237,18.93136173065003,0.12132558828125184,8,8
laplace_kernel8,0.02,8,0.0010881866624025236,0.03972297925271237,36.50382845624211,0.19275507968750105,8,8
laplace_kernel8,0.02,12,0.0009479653470977415,0.03972297925271237,41.903408573242565,0.4148660692812456,8,8
laplace_kernel8,0.02,16,0.0009473750103009876,0.03972297925271237,41.92951980028701,0.7860094840312399,8,8
