regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
mixture,64,25,8,0.8035368046367737,0.3530327931117821,0.8106887174571019,0.3536870413654177,0.0035368046367736383,0.01068871745710187,-0.006967206888217781,-0.0063129586345822,0.007151912820328232,0.0006542482536355809,2.9482508817633555,3.263664827336048,0.0
gaussian,64,26,0,0.8257118065473903,0.36009597949445343,0.8255224340404008,0.36053455885782776,0.025711806547390248,0.025522434040400777,9.597949445355747e-05,0.0005345588578278826,-0.0001893725069894714,0.0004385793633743251,nan,nan,nan
mixture,64,26,8,0.7863050791726277,0.33828797156354184,0.7858549018223141,0.3387174043356875,-0.013694920827372337,-0.014145098177685944,-0.02171202843645803,-0.021282595664312398,-0.0004501773503136075,0.0004294327721456326,2.0567027908499336,2.0191224348453227,0.0
gaussian,64,27,0,0.8029437310310125,0.3454118905959026,0.8027262269072512,0.3458469310349557,0.00294373103101242,0.002726226907251106,-0.014588109404097271,-0.014153068965044202,-0.000217504123761314,0.00043504043905306933,nan,nan,nan
mixture,64,27,8,0.7924105538467502,0.36716282030504516,0.792096943390403,0.36759902724999904,-0.007589446153249857,-0.007903056609597003,0.007162820305045281,0.0075990272499991685,-0.00031361045634714646,0.00043620694495388745,3.123284173272503,3.3281534935154786,0.0
gaussian,64,28,0,0.7906695245837525,0.35018058845015326,0.7904415537404869,0.3506187296896844,-0.009330475416247541,-0.009558446259513187,-0.009819411549846613,-0.009381270310315493,-0.00022797084326564576,0.00043814123953112016,nan,nan,nan
mixture,64,28,8,0.8018402063139887,0.36443214969182636,0.8015481401886737,0.3648683311896095,0.0018402063139886238,0.0015481401886736634,0.004432149691826481,0.004868331189609609,-0.00029206612531496035,0.000436181497783128,3.5003019162000637,3.666030286544305,0.0
gaussian,64,29,0,0.7933868822686191,0.35947428565158834,0.7931743057261799,0.359909123520391,-0.0066131177313809575,-0.006825694273820182,-0.0005257143484115323,-9.087647960887013e-05,-0.00021257654243922453,0.0004348378688026622,nan,nan,nan
mixture,64,29,8,0.8126333188978899,0.41777080681405193,0.8126352308633054,0.41821394969449854,0.012633318897889878,0.012635230863305313,0.057770806814052056,0.05821394969449867,1.9119654154353682e-06,0.000443142880446612,2.706835479267631,2.688794464574017,0.0
gaussian,64,30,0,0.78678374601388,0.37125736580180313,0.7865699673017994,0.3716909385620035,-0.01321625398612003,-0.013430032698200645,0.011257365801803254,0.01169093856200365,-0.0002137787120806145,0.0004335727602003958,nan,nan,nan
mixture,64,30,8,0.781646472303251,0.3526172783408612,0.7829666348700728,0.3530437024560141,-0.018353527696749028,-0.017033365129927258,-0.007382721659138669,-0.006956297543985801,0.0013201625668217698,0.00042642411515286804,2.5074601626907267,2.5391522386200487,0.0
gaussian,64,31,0,0.7765146889717524,0.36798330647440275,0.7762947604462705,0.36841133714608404,-0.02348531102824769,-0.023705239553729496,0.007983306474402874,0.008411337146084163,-0.00021992852548180508,0.00042803067168128983,nan,nan,nan
mixture,64,31,8,0.8006154205115273,0.34551831154010243,0.8001028884353417,0.3459450838116216,0.0006154205115272982,0.0001028884353416748,-0.014481688459897446,-0.014054916188378286,-0.0005125320761856234,0.0004267722715191602,2.650070470613377,2.6032556593005527,0.0
gaussian,64,32,0,0.8064389568775348,0.3426302306160001,0.8062385331054798,0.34306592770804256,0.006438956877534707,0.006238533105479727,-0.017369769383999756,-0.016934072291957314,-0.00020042377205498063,0.0004356970920424419,nan,nan,nan
mixture,64,32,8,0.8061606697961682,0.3718069498659263,0.8067163746575277,0.3722399510601896,0.006160669796168139,0.006716374657527613,0.011806949865926397,0.012239951060189713,0.0005557048613594739,0.00043300119426331607,3.0221120954378886,3.0905597250809915,0.0
gaussian,64,33,0,0.7861356258700115,0.3734071828972092,0.7859260614255644,0.373833527430031,-0.013864374129988533,-0.014073938574435618,0.013407182897209324,0.013833527430031134,-0.00020956444444708566,0.0004263445328218096,nan,nan,nan
mixture,64,33,8,0.7868709442825685,0.36972012407141597,0.7874396350929267,0.37012412129117567,-0.013129055717431504,-0.012560364907073351,0.009720124071416092,0.010124121291175792,0.0005686908103581523,0.0004039972197596997,3.1758415716552637,3.192207507838388,0.0
gaussian,64,34,0,0.7985210914487731,0.36397237902327484,0.7983072067301522,0.36440776565760075,-0.0014789085512268985,-0.0016927932698478365,0.003972379023274963,0.004407765657600871,-0.00021388471862093805,0.0004353866343259072,nan,nan,nan
mixture,64,34,8,0.8058883969859306,0.41287758988014367,0.8068842630409601,0.413336990126667,0.005888396985930577,0.006884263040960015,0.052877589880143794,0.05333699012666715,0.0009958660550294374,0.000459400246523356,3.2362325240224576,3.207434474686268,0.0
gaussian,64,35,0,0.8000321793338655,0.36693885967963125,0.7998096288951022,0.36738665594474906,3.217933386545635e-05,-0.00019037110489783515,0.006938859679631371,0.0073866559447491875,-0.0002225504387632915,0.0004477962651178169,nan,nan,nan
mixture,64,35,8,0.8157712225653987,0.37254623892670047,0.8153439198750309,0.37298825755425546,0.015771222565398646,0.01534391987503081,0.012546238926700592,0.012988257554255589,-0.00042730269036783675,0.00044201862755499643,4.8477133675938076,5.526806402889255,0.0
gaussian,64,36,0,0.8011141219002748,0.3586329192878898,0.8008939633406367,0.35907594267965537,0.0011141219002747116,0.0008939633406366276,-0.001367080712110058,-0.0009240573203445068,-0.00022015855963808395,0.0004430233917655513,nan,nan,nan
