family,rho,t,excess_kurtosis,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_rel_q90,score_cosine_median,score_max_abs_median
gauss_mix_kappa0.9,0.5,0.0725,-1.62,0.03270803395020887,0.21047466852632785,1.552950627492391,0.7322293866530357,0.9029422235487868,0.6818211397380992,2.5975450000968014
gauss_mix_kappa0.9,0.5,0.1053,-1.62,0.03139307606881302,0.20755181463728806,0.7052004262088409,0.6436893712446945,0.7065751557730998,0.7739656239461725,1.7045613264581712
gauss_mix_kappa0.9,0.5,0.1527,-1.62,0.031186175246802107,0.1922256800806605,0.3317807204355196,0.4361612132094095,0.5425063793119965,0.9019476899376487,1.3392699963050776
gauss_mix_kappa0.9,0.5,0.2216,-1.62,0.020833778774979717,0.1734696113700828,0.10434490366925298,0.30727886628925966,0.35550063933726206,0.9554265045766555,0.6047676642916112
gauss_mix_kappa0.9,0.5,0.3215,-1.62,0.01256379250692447,0.1613576108164718,0.02936207947770713,0.17347213358135471,0.2087771724689005,0.9875254606706882,0.4100083116924793
gauss_mix_kappa0.9,0.5,0.4665,-1.62,0.006204481262729119,0.115426505031992,0.006632290922397874,0.07741252739698053,0.0974329505730677,0.997205959553285,0.19072797360829563
gauss_mix_kappa0.9,0.5,0.6769,-1.62,0.0023314191203449635,0.09588699364024879,0.001094373558138044,0.03207613359553544,0.044942127982618825,0.9995410737194527,0.10633238957679547
gauss_mix_kappa0.9,0.5,0.9821,-1.62,0.0003243036850331554,0.045977558267666724,6.154383218532356e-05,0.008497054360352283,0.011196192270949083,0.9999760968471104,0.01467009290865634
gauss_mix_kappa0.9,0.5,1.425,-1.62,3.100788255784482e-05,0.020780469947043006,2.0206332561231994e-06,0.0015558024696976111,0.002621332623103329,0.9999992373535116,0.002979840105092224
gauss_mix_kappa0.9,0.5,2.0676,-1.62,9.002924327298228e-07,0.006476712580245764,1.4876418557511482e-08,0.00012847347137854754,0.0001836895147924396,0.9999999925268482,0.00033390118233989075
gauss_mix_kappa0.9,0.5,3.0,-1.62,2.6679664709532335e-09,0.0009508097141639274,6.6461351056467575e-12,2.651932717919851e-06,3.358314062980694e-06,0.9999999999970295,4.7401449082551395e-06
laplace,0.85,0.05,3.0,0.0022936930439691554,0.058487445534998544,0.22917825884254986,0.2579970176403683,0.31297211527650465,0.9690869791675443,1.1893231860782594
laplace,0.85,0.0725,3.0,0.002288846638627517,0.06591475131580093,0.10867256127657757,0.18923316749894875,0.26491806825260866,0.9835259554103385,1.020512574008385
laplace,0.85,0.1053,3.0,0.0020749850191853184,0.0645720945793307,0.04661156226611765,0.14451134734326154,0.30680202713964994,0.9899714369634165,0.5882791269202342
laplace,0.85,0.1527,3.0,0.0031101763263623097,0.06064808835231385,0.03308826857015104,0.11985966664592708,0.21886524184918982,0.9928687606812718,0.6576590507493425
laplace,0.85,0.2216,3.0,0.001310956001914587,0.046840440744402946,0.006565855345391595,0.060137564767784944,0.11552603612765563,0.9985332185020348,0.1660707806657129
laplace,0.85,0.3215,3.0,0.0009708667429392602,0.0591678271063729,0.002268953936698168,0.04296952259655187,0.10217009957875554,0.9992318801571082,0.10495343925667311
laplace,0.85,0.4665,3.0,0.000731449739138422,0.03627761712796667,0.0007818844573227383,0.03116514850103516,0.04254492287335014,0.9996070044259805,0.05945504403277713
laplace,0.85,0.6769,3.0,0.0004005747006784446,0.03612159871122577,0.00018803069626395182,0.013970671054152608,0.018923656343811417,0.9999196131365036,0.028085186070858137
laplace,0.85,0.9821,3.0,0.00027645396780647295,0.03582017702113209,5.246328483720125e-05,0.00803240656855763,0.011034324409620494,0.9999729513002593,0.014223321342716977
laplace,0.85,1.425,3.0,6.419086624766691e-05,0.021427074491155922,4.183007299431813e-06,0.0021842762274223524,0.004270506940209425,0.9999978757148686,0.003623097995228086
laplace,0.85,2.0676,3.0,3.941746123113731e-06,0.0077594493605929425,6.51333533895056e-08,0.00027782497005214546,0.0004265236430627557,0.9999999680025649,0.00047238484910328005
laplace,0.85,3.0,3.0,1.8226769501222394e-08,0.0017643031015407739,4.5404458400487333e-11,7.503885492787854e-06,1.0698512123403236e-05,0.9999999999747458,1.1824028720130997e-05
student_t_nu5,0.85,0.05,6.0,0.0008714762321685021,0.046031838067918336,0.0870750364946081,0.16721070932778936,0.5299113415579679,0.9916426045615168,0.5909522453088357
