n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual,seed
256,dsm_net_x0,1.6,0.4589515849916307,0.03730253208474085,0.031733560203572216,2.5317928720791032e-15,0
512,em_bp,0.1,0.013795419016949388,0.041339761497940795,0.00016558277483689712,5.1032890273835546e-15,0
512,dsm_net_eps,0.1,0.15431990825257502,0.4624396108380243,0.02071997737588617,4.4235509724816044e-16,0
512,dsm_net_x0,0.1,0.3320680516019089,0.9950849653383289,0.09593996416758753,2.383766768898029e-16,0
512,em_bp,0.2,0.013375249646027485,0.022514174478006837,0.00014416596401016436,6.2747199326699135e-15,0
512,dsm_net_eps,0.2,0.2014167571481821,0.3390390559607492,0.032692651556647676,3.9893913808268283e-16,0
512,dsm_net_x0,0.2,0.3111401254833594,0.5237332578926356,0.07801372082642236,2.9602240189907346e-16,0
512,em_bp,0.4,0.010705261029591111,0.009283490862175288,7.655347245573768e-05,1.1678177456308054e-14,0
512,dsm_net_eps,0.4,0.27511939215282355,0.2385806713164761,0.05056066519048644,4.2816749977929094e-16,0
512,dsm_net_x0,0.4,0.2868608502339002,0.24876274146899172,0.05496837964362941,4.590903101722426e-16,0
512,em_bp,0.8,0.014333726377669472,0.0051824233389328594,9.272256993984799e-05,1.9142450574924493e-14,0
512,dsm_net_eps,0.8,0.5235313838941168,0.18928513012384038,0.12369515329082145,4.669445667408474e-16,0
512,dsm_net_x0,0.8,0.3158126956836664,0.11418350272069595,0.04501180305662101,8.65702115939323e-16,0
512,em_bp,1.6,0.043167684010217575,0.0035085703382949623,0.0002807388705559497,2.6543313062277996e-14,0
512,dsm_net_eps,1.6,2.0935884179145137,0.17016206433391473,0.6603400899759035,4.902671397691413e-16,0
512,dsm_net_x0,1.6,0.35882582175975014,0.029164539717780186,0.019397797742829265,3.2429379620968197e-15,0
1024,em_bp,0.1,0.0166826979196276,0.04999186703153172,0.00024214635488300357,4.235405707115218e-15,0
1024,dsm_net_eps,0.1,0.10760286037003024,0.32244592054275506,0.010073792392184571,6.420491800246255e-16,0
1024,dsm_net_x0,0.1,0.25236164225575425,0.756234376735047,0.055410498061631855,2.9677264032618995e-16,0
1024,em_bp,0.2,0.015130902638312694,0.025469414853866577,0.00018449670754578209,5.5617164624851475e-15,0
1024,dsm_net_eps,0.2,0.14263500755169092,0.240093421182936,0.016394991872012966,5.518847595558953e-16,0
1024,dsm_net_x0,0.2,0.2427643731938706,0.40863831328592,0.047492917748340566,3.652694350000822e-16,0
1024,em_bp,0.4,0.014555405377812119,0.01262229593904045,0.00014152037904613293,8.736476130024677e-15,0
1024,dsm_net_eps,0.4,0.21565851077847037,0.18701681431477712,0.03106730465064459,5.536031823931745e-16,0
1024,dsm_net_x0,0.4,0.2357564138414893,0.2044455065174881,0.03712764525560738,5.450938922473612e-16,0
1024,em_bp,0.8,0.020608389419187797,0.0074510560261706864,0.00019167053061609768,1.3311034896528214e-14,0
1024,dsm_net_eps,0.8,0.4569680635049287,0.1652188617988634,0.09424079457288115,5.380287615321667e-16,0
1024,dsm_net_x0,0.8,0.2431138412574755,0.08789890442677825,0.026673905689908895,1.1543651258899277e-15,0
1024,em_bp,1.6,0.05383185393139339,0.004375329608009751,0.00043657988709707395,2.1611431177303847e-14,0
1024,dsm_net_eps,1.6,2.0150677832867965,0.16378008726204546,0.6117364658094631,5.080491210535569e-16,0
1024,dsm_net_x0,1.6,0.3273499638165301,0.026606254183494205,0.016143944095322136,3.53990728504289e-15,0
2048,em_bp,0.1,0.013152782686803468,0.03941401842442457,0.00015051530165353515,5.565547355343189e-15,0
2048,dsm_net_eps,0.1,0.08395810868207401,0.2515913568461249,0.00613296741713551,8.1763280432509895e-16,0
2048,dsm_net_x0,0.1,0.2055510773632876,0.6159604505961676,0.036760793629863286,3.548334407322023e-16,0
2048,em_bp,0.2,0.01313721005950537,0.022113489262742595,0.00013908017714899914,6.286496866694763e-15,0
2048,dsm_net_eps,0.2,0.11207205140262687,0.18864767284073075,0.010121703000978234,6.967910773377425e-16,0
2048,dsm_net_x0,0.2,0.20218074846798229,0.3403250606581473,0.032941134077648176,4.2354798872370294e-16,0
2048,em_bp,0.4,0.013249950682402685,0.011490219224393519,0.00011727323246767674,9.60330062377038e-15,0
2048,dsm_net_eps,0.4,0.18198034653566889,0.15781146106475666,0.02212174326729676,6.421017803033339e-16,0
2048,dsm_net_x0,0.4,0.200343192502122,0.17373552982514356,0.026811403740011508,6.398487878651244e-16,0
2048,em_bp,0.8,0.01868477850298148,0.006755565834401409,0.00015755897558879294,1.4811011785917955e-14,0
2048,dsm_net_eps,0.8,0.39945440547473593,0.14442453966450047,0.0720114691168276,6.132857621324737e-16,0
2048,dsm_net_x0,0.8,0.2243162637633784,0.08110255560902951,0.022708516626980868,1.2512018060184508e-15,0
2048,em_bp,1.6,0.030556100355490685,0.002483529747295757,0.0001406633336956809,3.7946248226565155e-14,0
2048,dsm_net_eps,1.6,1.8350962067147456,0.14915241033716292,0.5073442299320968,5.46075203542831e-16,0
2048,dsm_net_x0,1.6,0.34078485766287403,0.027698211538358705,0.01749627631833705,3.454235546166344e-15,0
