family,t,half_width,n_grid,score_rel,dlogev_per_site,forward_edge_max,forward_edge_mean,belief_edge_max,belief_edge_mean,zero_frac,shifted
student,0.1527,6.0,201,8.952324534082546e-11,5.719869022868806e-13,5.7517804437992644e-05,8.223392236197526e-06,2.828849221166484e-09,4.189835089410363e-12,0.0,0
student,0.1527,6.0,401,8.741332161345332e-11,5.440092820663267e-13,6.269654923840687e-05,8.911695245605764e-06,3.4182224564805574e-09,5.073313866115908e-12,0.0,0
student,0.1527,6.0,801,8.688282254448174e-11,5.704325900524054e-13,6.530052792440734e-05,9.256791467281825e-06,3.736239312197463e-09,5.550814145147794e-12,0.0,0
student,0.1527,8.0,201,8.685479794989137e-16,3.68594044175552e-14,5.350120025824143e-06,1.5693494761237872e-06,1.392768096424649e-19,2.3968447064671765e-22,0.0,0
student,0.1527,8.0,401,5.738760616399589e-16,3.68594044175552e-14,5.811313416388681e-06,1.6991158406579716e-06,1.9485206065667687e-19,3.3359020573388926e-22,0.0,0
student,0.1527,8.0,801,4.961045256504843e-16,5.906386491005833e-14,6.04277246861492e-06,1.7641490754551536e-06,2.2778000885831453e-19,3.8905856781560465e-22,0.0,0
student,0.1527,10.0,201,4.858262729747146e-16,4.1300296516055823e-14,1.107018047302033e-06,4.696424688203573e-07,1.9429474158937456e-33,3.1148149833727114e-36,0.0,0
student,0.1527,10.0,401,4.704266887646285e-16,2.353672812205332e-14,1.2009324628167892e-06,5.083008346027853e-07,3.45000606980294e-33,5.567039894434966e-36,0.0,0
student,0.1527,10.0,801,5.217027847147538e-16,2.353672812205332e-14,1.2480376907385461e-06,5.276718335979846e-07,4.475284134638769e-33,7.241855238416565e-36,0.0,0
student,0.2216,6.0,201,0.00014212719675026346,1.1080894897208537e-06,0.0011347191823681284,9.894662430888635e-06,0.002026236790815693,1.983602663981978e-06,0.0,0
student,0.2216,6.0,401,0.0001414821782642806,1.102031717215013e-06,0.0012509203871306758,1.0749710005167543e-05,0.002270882697658563,2.2233477657435445e-06,0.0,0
student,0.2216,6.0,801,0.00014132083014468635,1.1005159599175585e-06,0.0013097293834945032,1.1179077843230748e-05,0.0023956662693764143,2.3456464935463426e-06,0.0,0
student,0.2216,8.0,201,4.347624454304519e-10,1.9824142327706795e-12,2.894686659273535e-05,1.6232670724921903e-06,1.4119034234140114e-08,1.378828489066689e-11,0.0,0
student,0.2216,8.0,401,4.253693763587448e-10,1.9380053117856733e-12,3.1668206346255575e-05,1.7580171785373937e-06,1.6970193432637332e-08,1.657266135542116e-11,0.0,0
student,0.2216,8.0,801,4.230091475657829e-10,1.949107542031925e-12,3.3039699446797003e-05,1.8255594854408453e-06,1.8503097765024076e-08,1.8069661075216095e-11,0.0,0
student,0.2216,10.0,201,4.252096088046359e-16,4.107825191113079e-14,3.1567002902020442e-06,4.7576998010051037e-07,9.532915101210297e-16,9.309490780237611e-19,0.0,0
student,0.2216,10.0,401,4.081007408417922e-16,2.3314683517128287e-14,3.4363380294679834e-06,5.149741704905439e-07,1.2677736406464291e-15,1.2380606695815095e-18,0.0,0
student,0.2216,10.0,801,4.3504369642909326e-16,2.353672812205332e-14,3.576843122832311e-06,5.346194433772468e-07,1.448396867788303e-15,1.4144506205270145e-18,0.0,0
student,0.3215,6.0,201,5.87708718681564e-05,5.79252603438718e-07,0.00045639028642120976,9.173059076406278e-06,0.0006164787867506391,9.31808493467534e-07,0.0,0
student,0.3215,6.0,401,5.854779787460922e-05,5.765041173333429e-07,0.0005021222862404807,9.958375418234055e-06,0.0006879618437544291,1.0431031986011852e-06,0.0,0
student,0.3215,6.0,801,5.849199586432979e-05,5.758163912350511e-07,0.0005252458506123584,1.0352547961503963e-05,0.0007243459512943783,1.0998822908497485e-06,0.0,0
student,0.3215,8.0,201,1.5973096563288476e-09,8.574696508389934e-12,1.623746766892958e-05,1.5814341153157387e-06,3.4404478311673716e-08,3.6261319027334246e-11,0.0,0
student,0.3215,8.0,401,1.5760420249152213e-09,8.453016064891017e-12,1.7738260293273143e-05,1.712505566940667e-06,4.0202336874603366e-08,4.243208709686301e-11,0.0,0
student,0.3215,8.0,801,1.5707079418719004e-09,8.445022459113716e-12,1.8494059927881254e-05,1.7782000729084911e-06,4.3258255499887824e-08,4.568849080487151e-11,0.0,0
student,0.3215,10.0,201,4.943919820256742e-15,4.107825191113079e-14,2.1160670538350307e-06,4.6856355091007816e-07,1.8675698798305074e-13,1.8629181011887496e-16,0.0,0
student,0.3215,10.0,401,4.782633708792685e-15,2.3314683517128287e-14,2.3009042727708293e-06,5.071453750279645e-07,2.294976633207797e-13,2.289956875921349e-16,0.0,0
student,0.3215,10.0,801,4.747923421462984e-15,2.375877272697835e-14,2.393723147375287e-06,5.264783106470682e-07,2.5283476359062074e-13,2.5231784839711073e-16,0.0,0
student,0.4665,6.0,201,7.577419386560194e-06,1.1502309416044909e-07,0.0002080203425808852,8.606855357177139e-06,3.97504585521554e-05,1.3752306714619898e-07,0.0,0
student,0.4665,6.0,401,7.556731321474496e-06,1.1465583948933045e-07,0.00022904677999046493,9.338854095707271e-06,4.422019347266644e-05,1.5296911533761102e-07,0.0,0
student,0.4665,6.0,801,7.55155689773595e-06,1.1456398940623558e-07,0.0002396966509755677,9.706182725992403e-06,4.649146325553505e-05,1.6082227734013744e-07,0.0,0
student,0.4665,8.0,201,7.12455085820628e-09,5.877964781575429e-11,1.0480643608546298e-05,1.5556598199081771e-06,5.838176627814451e-08,1.124146327630103e-10,0.0,0
student,0.4665,8.0,401,7.088259668699571e-09,5.843303618746631e-11,1.1503409298810497e-05,1.6845262790444759e-06,6.562201282447299e-08,1.2689873804013832e-10,0.0,0
student,0.4665,8.0,801,7.07917711751799e-09,5.836864325203805e-11,1.2020455627219877e-05,1.749116011568522e-06,6.932819960748869e-08,1.343408817599217e-10,0.0,0
student,0.4665,10.0,201,1.7820204096791887e-12,5.1514348342607263e-14,1.3303689188910993e-06,4.643615990867561e-07,2.6689632417853357e-11,4.29369746474066e-14,0.0,0
student,0.4665,10.0,401,1.7586962857417436e-12,3.375077994860476e-14,1.4445492807742446e-06,5.025764688082837e-07,3.108745257927736e-11,5.001352230801006e-14,0.0,0
student,0.4665,10.0,801,1.7528422961673184e-12,3.397282455352979e-14,1.5018464925831837e-06,5.217251853814928e-07,3.339836979341708e-11,5.3732609535292005e-14,0.0,0
student,0.6769,6.0,201,0.0008387359273772291,1.6224571306899804e-05,0.00044817693960284437,9.68929344709051e-06,0.0028413490751340105,9.684756163523548e-06,0.0,0
student,0.6769,6.0,401,0.0008380955008835256,1.62066129676397e-05,0.0004936441124876097,1.0527477462623989e-05,0.0030943254863239553,1.0594109834070215e-05,0.0,0
student,0.6769,6.0,801,0.0008379353828756819,1.6202122482544823e-05,0.00051667318931111,1.0948470892245045e-05,0.003221219241115348,1.1051629116859549e-05,0.0,0
student,0.6769,8.0,201,6.040362237011088e-06,6.643383243520873e-08,3.342835810316241e-05,1.6322430547989832e-06,4.577444340968212e-05,9.510744734182029e-08,0.0,0
student,0.6769,8.0,401,6.0192730856014686e-06,6.616420389349287e-08,3.688802666000774e-05,1.7686448894367535e-06,5.094535979327008e-05,1.0611835345162847e-07,0.0,0
student,0.6769,8.0,801,6.013997563127277e-06,6.609676472812964e-08,3.8645355212142944e-05,1.8370492035704028e-06,5.357277705020572e-05,1.1172424783403644e-07,0.0,0
student,0.6769,10.0,201,4.835856261599094e-09,4.529598918168176e-11,3.0149611022596407e-06,4.7272449966469034e-07,6.631948236922733e-08,1.239576045268038e-10,0.0,0
student,0.6769,10.0,401,4.791182794927277e-09,4.487099580785525e-11,3.3050533606182105e-06,5.117083338251187e-07,7.627668288246236e-08,1.4218875896267923e-10,0.0,0
student,0.6769,10.0,801,4.779992496106274e-09,4.476929937879959e-11,3.4517535281069973e-06,5.31244567974834e-07,8.146041036757563e-08,1.5166893328982788e-10,0.0,0
student,0.9821,6.0,201,0.006803934716801105,0.00011771757562639706,0.00034567575903698413,1.0526559099332814e-05,0.00857021491284616,3.1708629217821627e-05,0.0,0
student,0.9821,6.0,401,0.0068026678219225215,0.00011767533085893511,0.00038071132921383067,1.1447486231085327e-05,0.009243708069492158,3.446182309265093e-05,0.0,0
student,0.9821,6.0,801,0.00680235111131345,0.0001176647686693677,0.00039845820055714893,1.1910326239812049e-05,0.009580195278361554,3.584350682255534e-05,0.0,0
