t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.9821,1,0.3745237725257959,0.8597319438130459,0.0001478422976752935,0.03352584254436742,2.8056361916117982e-05,0.005838485508281369,0.9999862584335355,0.011624623365139426,1.7854334459186205e-14,1.952712895134732e-07,0.039301998743967746
0.9821,2,0.3745237725257959,0.8597319438130459,0.0006102747647688074,0.036339606339779805,0.00011581320053772917,0.010027650909408485,0.9999553922447135,0.03702311600797126,8.873984887982736e-15,2.641511429593752e-07,0.49457202131763167
0.9821,3,0.3745237725257959,0.8597319438130459,0.0002549850478817069,0.03350355114027187,4.838908011481322e-05,0.005603362009933498,0.9999843065880868,0.01694796220205741,1.2425227328110605e-14,2.2389273200707703e-07,0.06107003355040405
0.9821,4,0.3745237725257959,0.8597319438130459,0.00015984941886454095,0.01885083676763418,3.0334980031185895e-05,0.005965092464297136,0.9999846481499836,0.011090799364363302,1.8285198144059794e-14,3.007949475482905e-07,0.12593976003647
0.9821,5,0.3745237725257959,0.8597319438130459,0.00020622618973496654,0.025192481052110645,3.913600307060906e-05,0.006127850913797017,0.999981490116565,0.014580941293951044,1.5859394576585264e-14,2.5620487455353135e-07,0.10975353484331779
0.9821,6,0.3745237725257959,0.8597319438130459,0.00019808567791952268,0.059213504634514746,3.759116002320129e-05,0.006996409526070976,0.9999832091954592,0.010109743059137699,1.0168569138183398e-14,1.830933519020093e-07,0.014958859320975487
0.9821,7,0.3745237725257959,0.8597319438130459,0.0003550892853722505,0.03123964700971707,6.738608408819696e-05,0.008430689536922666,0.9999666115107674,0.026795061295071143,8.883190812028708e-15,2.5330955779689544e-07,0.16979946194859127
0.9821,8,0.3745237725257959,0.8597319438130459,0.00036966370736188283,0.02284689117328721,7.015190459078009e-05,0.007789797218657863,0.9999703140996608,0.016313974957543165,9.193225144873527e-15,2.4264071366593254e-07,0.134861014780569
0.9821,9,0.3745237725257959,0.8597319438130459,0.00023581389465639403,0.023042468973116414,4.4750927693642856e-05,0.0076774052620295075,0.999971919245917,0.013238821884619445,1.444332282703125e-14,2.8938150141308283e-07,0.07621757464124135
0.9821,10,0.3745237725257959,0.8597319438130459,0.0002367582152369154,0.020999151243765366,4.49301335121978e-05,0.006780468012217438,0.9999791937536306,0.010577536411143174,1.4393280287415228e-14,2.4299496440631354e-07,0.05676843702275158
0.9821,11,0.3745237725257959,0.8597319438130459,0.00019740026278264702,0.01865174986505399,3.746108726699136e-05,0.006577857368061038,0.9999813994988868,0.011804442381926239,1.48247953121878e-14,2.8982305690089906e-07,0.12513387022269773
0.9821,12,0.3745237725257959,0.8597319438130459,8.485961881991745e-05,0.01043002503140144,1.6103998754838403e-05,0.003246277409910163,0.9999949263155886,0.008028825446224297,3.397901725747192e-14,1.8225447973434887e-07,0.1832823944825146
0.9821,13,0.3745237725257959,0.8597319438130459,0.00011762481901031943,0.05970366930807833,2.2321923727940247e-05,0.004543867244767568,0.999992527288758,0.014100879681201661,2.7499944095423556e-14,1.1721067028595415e-07,0.25795437408048205
0.9821,14,0.3745237725257959,0.8597319438130459,0.0002481961496176438,0.026811880504219277,4.7100735779644765e-05,0.006892514050331078,0.9999770507777065,0.015917322975200543,1.8054188437751588e-14,2.515446913560541e-07,0.10457637964428268
0.9821,15,0.3745237725257959,0.8597319438130459,0.00015515460367778895,0.06583899262468455,2.9444034502877082e-05,0.004878245943021764,0.9999903131481304,0.013827640062722857,2.2206360761521927e-14,1.2223939234706834e-07,0.08690971302078361
0.9821,16,0.3745237725257959,0.8597319438130459,0.0006732487017949424,0.03490673864087255,0.00012776390474261506,0.009678528609673255,0.9999565807587774,0.04316462384823305,9.06889911518329e-15,2.1926315635687722e-07,0.268782170582621
0.9821,17,0.3745237725257959,0.8597319438130459,0.000353656341052653,0.023283943532672473,6.711415105503656e-05,0.008366595858913532,0.999976522608163,0.02486982030387974,1.474779195874609e-14,2.961948625126678e-07,0.15690517197980713
0.9821,18,0.3745237725257959,0.8597319438130459,0.00013831706233254543,0.037168517456127224,2.624873680263885e-05,0.005526703513680292,0.9999889597510278,0.011016856089965277,1.7767172355512124e-14,1.7519274744963998e-07,0.03560559724311382
