t,half_width,n_grid,spacing,n_chains,boundary_mass_max,boundary_mass_p99,boundary_mass_p90,boundary_mass_median,kernel_norm_residual_max,kernel_norm_residual_interior
0.6769,8.0,801,0.019999999999999574,256,8.247791681234817e-08,2.633256295072226e-08,7.035617058139653e-09,1.4128803462782149e-09,0.01971116964470554,0.0002402282272147005
0.9821,8.0,801,0.019999999999999574,256,1.1491570836478514e-07,5.921704037471058e-08,7.0281718530150364e-09,1.5830193143362638e-09,0.01971116964470554,0.0002402282272147005
1.425,8.0,801,0.019999999999999574,256,1.218778914425443e-08,9.73965694413371e-09,2.9549218727286383e-09,1.134580899727589e-09,0.01971116964470554,0.0002402282272147005
2.0676,8.0,801,0.019999999999999574,256,3.861127827218881e-09,2.038784093774593e-09,1.1458334126453456e-09,7.12080504493248e-10,0.01971116964470554,0.0002402282272147005
3.0,8.0,801,0.019999999999999574,256,6.150706144073953e-10,5.698068273431536e-10,5.115530071820701e-10,4.4023217928353966e-10,0.01971116964470554,0.0002402282272147005
0.05,10.0,201,0.09999999999999964,256,1.0056628045137988e-08,7.758520473518049e-10,8.950753579508346e-11,1.09058867882165e-11,0.007429419490503797,0.005998803939861297
0.0725,10.0,201,0.09999999999999964,256,1.7417515569999855e-08,1.27832455045412e-09,2.0740157227625587e-10,1.703702983151934e-11,0.007429419490503797,0.005998803939861297
0.1053,10.0,201,0.09999999999999964,256,1.8115806704634556e-09,1.1088131466916541e-09,1.2789273896673208e-10,1.62704664495747e-11,0.007429419490503797,0.005998803939861297
0.1527,10.0,201,0.09999999999999964,256,2.78605592108004e-08,5.6741471235814e-10,1.0284739101736189e-10,1.7118872409167187e-11,0.007429419490503797,0.005998803939861297
0.2216,10.0,201,0.09999999999999964,256,9.753895109084312e-10,4.523211174327356e-10,1.4172343778222158e-10,1.874413155664082e-11,0.007429419490503797,0.005998803939861297
0.3215,10.0,201,0.09999999999999964,256,1.990180802425718e-09,1.4336547566791496e-09,1.3011250684556436e-10,1.983497320598385e-11,0.007429419490503797,0.005998803939861297
0.4665,10.0,201,0.09999999999999964,256,1.9427648089127697e-09,1.0073391664372857e-09,1.424785703876224e-10,1.9799124760291457e-11,0.007429419490503797,0.005998803939861297
0.6769,10.0,201,0.09999999999999964,256,5.7100079188971855e-09,2.0404134050984384e-09,1.674355059623346e-10,2.700966666224078e-11,0.007429419490503797,0.005998803939861297
0.9821,10.0,201,0.09999999999999964,256,1.1436599352509045e-09,4.955763474343861e-10,1.58311385414501e-10,3.1056662116523226e-11,0.007429419490503797,0.005998803939861297
1.425,10.0,201,0.09999999999999964,256,4.741964744112497e-09,2.922063843141402e-10,9.537483841405151e-11,3.2005994908627635e-11,0.007429419490503797,0.005998803939861297
2.0676,10.0,201,0.09999999999999964,256,1.1119163820339125e-10,5.331507389085983e-11,3.076796601843353e-11,1.8423097285136457e-11,0.007429419490503797,0.005998803939861297
