family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,rate_over_gaussian
gaussian,0.0,0.85,0.1,2,0.02090633643229616,0.31307366936133796,0.0021080337845867524,1.0
gaussian,0.0,0.85,0.1,3,0.006676979791840244,0.31307366936133796,0.0021080337845867524,1.0
gaussian,0.0,0.85,0.1,4,0.002235224702073193,0.31307366936133796,0.0021080337845867524,1.0
gaussian,0.0,0.85,0.1,5,0.0006218141595222714,0.31307366936133796,0.0021080337845867524,1.0
gaussian,0.0,0.85,0.1,6,0.0002025930143560752,0.31307366936133796,0.0021080337845867524,1.0
gaussian,0.0,0.85,0.1,7,6.433270802362269e-05,0.31307366936133796,0.0021080337845867524,1.0
gaussian,0.0,0.85,0.1,8,2.1132015613958494e-05,0.31307366936133796,0.0021080337845867524,1.0
gaussian,0.0,0.85,0.2,1,0.14641555964887984,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.2,2,0.06158115326903177,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.2,3,0.029242023666213233,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.2,4,0.011941739504803737,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.2,5,0.005494664225632868,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.2,6,0.002237695528933104,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.2,7,0.000996662506639864,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.2,8,0.00045919340792798836,0.4374095592703503,0.002448409368386061,1.0
gaussian,0.0,0.85,0.4,1,0.26202562922277756,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.4,2,0.1396761163360672,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.4,3,0.08031740457983527,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.4,4,0.04707167703461303,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.4,5,0.02389888128226131,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.4,6,0.01487125123372512,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.4,7,0.00919256627753393,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.4,8,0.0054806060153025325,0.5754903873450838,0.005810513447430173,1.0
gaussian,0.0,0.85,0.8,1,0.3854048981241368,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,0.8,2,0.26563433355914584,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,0.8,3,0.1618583396058782,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,0.8,4,0.11914900868166205,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,0.8,5,0.08378826203319112,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,0.8,6,0.06692092997057039,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,0.8,7,0.04689450570561177,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,0.8,8,0.037458683661473834,0.7166148825784536,0.009964500322296083,1.0
gaussian,0.0,0.85,1.6,1,0.314777809878011,0.8136279290109805,0.00432101256168291,1.0
gaussian,0.0,0.85,1.6,2,0.25195041136252155,0.8136279290109805,0.00432101256168291,1.0
gaussian,0.0,0.85,1.6,3,0.21060359695785855,0.8136279290109805,0.00432101256168291,1.0
gaussian,0.0,0.85,1.6,4,0.17214608752318628,0.8136279290109805,0.00432101256168291,1.0
gaussian,0.0,0.85,1.6,5,0.12726324345072826,0.8136279290109805,0.00432101256168291,1.0
gaussian,0.0,0.85,1.6,6,0.1131588518805069,0.8136279290109805,0.00432101256168291,1.0
gaussian,0.0,0.85,1.6,7,0.09276671094463688,0.8136279290109805,0.00432101256168291,1.0
