t,lag,rr_rms,tt_rms,rt_rms,tr_rms,fro_rms,rr_signed_mean,tt_signed_mean,rr_linear,tt_linear
0.7,2,0.031180523238496995,0.06385126501129107,0.01982489992208113,0.019801049079382734,0.07638270271817586,0.020693440188277932,0.06094676431293294,0.0009187743114183459,0.019956772051939256
0.7,3,0.030982239604605114,0.06338684358326528,0.019626990688109868,0.019705865953320342,0.07583753046353686,0.020207769981572636,0.0604541365846643,0.0004889560161970735,0.01932700127822558
0.7,4,0.03081123706257254,0.06298822096733721,0.019524974255526153,0.019704805086960785,0.07540790590614632,0.019785786859574123,0.06008611340303384,0.0002602140512681936,0.01871710402044884
0.7,5,0.030600577996052248,0.06272255552302676,0.019582736921097972,0.019496824304532187,0.07506080260904743,0.01950614858200304,0.05980751325938701,0.00013848147938548945,0.018126453135127334
0.7,6,0.030810500439520615,0.06228676822301392,0.01903782913477393,0.019952670247793583,0.07476280105228261,0.01951882379224858,0.0593484171467474,7.369748112882865e-05,0.017554441269386524
0.7,7,0.030588804340171097,0.06208917238644633,0.019187185569823014,0.019771875156688445,0.0744970832710759,0.019311863371018274,0.0591139415203895,3.922054233414816e-05,0.017000480236431872
0.7,8,0.030378269403520505,0.061870640448440664,0.019364846804083034,0.01978613693075921,0.07427855617768463,0.01901710388350197,0.058798890355074955,2.0872503611022076e-05,0.01646400041072973
0.7,9,0.030496669615516083,0.061483210881078915,0.019095124275641688,0.02055548273439859,0.07414434381280559,0.019006718237173183,0.058487436418980666,1.1107990381173597e-05,0.015944450142274372
0.7,10,0.030646340074550298,0.061189208684184,0.01839833625618443,0.020528947040363735,0.07377841054768866,0.018802660222669448,0.05823833862088407,5.911483002119992e-06,0.015441295189338808
1.0,0,1.1372036433644581,1.121921913547796,0.008881337219814446,0.008881337219814451,1.5975289239578014,-1.1371452627264023,-1.1218135866385168,0.0013547619667367585,0.012821893353934306
1.0,1,0.022046714164006807,0.037711940627214516,0.009177651318915509,0.008836235240850669,0.04550336699919264,0.018765783141279798,0.03434291513837611,0.0007219023420503147,0.012540707361151671
1.0,2,0.021753807054597275,0.0374442162484083,0.009299175788086646,0.008882222110385946,0.04517373121386119,0.0183616662360501,0.034052514970880354,0.00038467494973527827,0.012265687818233706
1.0,3,0.021523211700500783,0.03724226671266544,0.009433652400978636,0.008891172680581323,0.04492529155231257,0.018084512553608562,0.03382468383186601,0.00020497899554331332,0.011996699494034799
1.0,4,0.021340747284592638,0.037002843299105796,0.009532336810646098,0.009178843208237824,0.0447186148555167,0.017871268952223913,0.033587760814599465,0.00010922569468809985,0.011733610123048101
1.0,5,0.02121497471073401,0.0368375331750515,0.009561292672972444,0.009264381959405104,0.04454577525499012,0.01776205849617937,0.03341128408164197,5.820231652748572e-05,0.011476290340368636
1.0,6,0.021217889662195063,0.03672876299933875,0.009357028929479918,0.009211248040637398,0.04440272462396818,0.01768780178680727,0.03329177415297772,3.101385309417222e-05,0.011224613618082678
1.0,7,0.02106057982787596,0.036609744392725865,0.009531861410792448,0.009218313093248635,0.044267991657932396,0.017521698220064264,0.03318636057517711,1.6526130592974993e-05,0.010978456203052114
1.0,8,0.020971085514161644,0.036426802772979446,0.009578247418271785,0.009587273749426285,0.044162846709150126,0.017460267627496574,0.03302231578456127,8.806161283693722e-06,0.010737697056063214
1.0,9,0.02087916126415335,0.03641730029293841,0.00966324453558192,0.009307689120530918,0.044070063619644086,0.017364256748041946,0.03302007238656208,4.692476325183521e-06,0.010502217792309873
1.0,10,0.02106342866048567,0.03597550202844083,0.009007107611028565,0.010348393523552255,0.043887606555480636,0.017513213201864088,0.032594864298002096,2.500446375332781e-06,0.010271902623182066
1.5,0,1.0354206177218512,1.0330557698029335,0.002708668958029474,0.002708668958029473,1.4626396524440597,-1.035404171519072,-1.0330397084758096,0.000413265994043617,0.006750918690716236
1.5,1,0.01782244573867656,0.020036698895136998,0.0027827973757371285,0.0029217967180083276,0.02711807021191272,0.016836951794023995,0.019195099525127237,0.0002203858952615962,0.006664859022460016
1.5,2,0.017717889936731297,0.019913398275591035,0.0028923431507481535,0.003157037933776454,0.026996288487668437,0.016739885376980384,0.019060502143898993,0.00011752707343524874,0.006579896429556008
1.5,3,0.017672106156980345,0.01981165513470885,0.0027817248894798966,0.003375644953214667,0.026906095729613645,0.01669013028561972,0.01894127029136074,6.26746687843108e-05,0.006496016926657152
1.5,4,0.01763148317383053,0.019746934218250516,0.0027173823280519102,0.0034371964023593555,0.02683298521883436,0.016654267638992176,0.018859510538623052,3.342305727868946e-05,0.006413206706699431
1.5,5,0.017589541224351923,0.0196827099946472,0.0027108227542775344,0.003532775803321365,0.026769947667080008,0.016601121437295054,0.018793828767046012,1.7823799942189697e-05,0.006331452138629147
1.5,6,0.01751555583016397,0.019654821741882954,0.002934100321823936,0.003453904557757845,0.026714136990316828,0.016518051538015666,0.018778376531095767,9.505050412661052e-06,0.006250739765159167
1.5,7,0.017483896628937148,0.019571183464063942,0.0029223891116881982,0.0037086209459855253,0.026664809974131187,0.016503060879133735,0.018688312708465712,5.06883962119521e-06,0.006171056300553777
1.5,8,0.017443964581145978,0.019455226618287146,0.0029670015437959323,0.004105238464785606,0.026616795902039504,0.016473547206633434,0.01856282083200501,2.703103507076015e-06,0.006092388628441765
1.5,9,0.01737177739046191,0.019418993427310134,0.0032076782769044423,0.004119364062820969,0.026573187908940532,0.016390169531056563,0.018529787714200174,1.4415071527245814e-06,0.006014723799657397
1.5,10,0.017304573776339722,0.019405560080802586,0.0033686699244286898,0.003943367404472822,0.026512678461008656,0.016330281523399763,0.018499781392762506,7.687248623356896e-07,0.005938049030108901
2.0,0,1.0106497366223104,1.010649437521674,0.0006618597369467087,0.0006618597369466978,1.4292746593339727,-1.0106488454944897,-1.0106486719686438,0.00014250512688268957,0.0038993748500131117
2.0,1,0.00805777730934654,0.008048187883755381,0.0008247110562197846,0.0007641899328690551,0.011444004454691393,0.007943735820114253,0.007952133320167467,7.601415202762837e-05,0.003869635425886624
2.0,2,0.008014099497478503,0.008003760576884799,0.0009322836520934232,0.0008850965938713637,0.011399057983711805,0.007899827253294621,0.007907475386641279,4.05469714309716e-05,0.0038401228158986573
2.0,3,0.007975656267493454,0.007972005534850918,0.001052138126128214,0.0009557332355677867,0.011365930925310198,0.007860774607894154,0.007875313587328524,2.162830010425523e-05,0.0038108352902022176
2.0,4,0.00794611266035377,0.007949074908457806,0.0011289445677655852,0.0009878592580749392,0.011339262765372346,0.007830417663144637,0.007851108900844844,1.153682627557265e-05,0.0037817711321433615
2.0,5,0.007916823010777287,0.007922490594942749,0.0012148184771653364,0.0010655106967271087,0.011316052350012845,0.007802481208687609,0.007824359790629783,6.153898358685953e-06,0.0037529286381605778
2.0,6,0.007887348492158563,0.007893458564372033,0.0013053107208547364,0.001164724891987187,0.011295015471269041,0.0077739449365704,0.0077950776230656755,3.282572182717374e-06,0.0037243061176849375
2.0,7,0.007863305156008398,0.00786179535657011,0.0013644506820819633,0.001278686190983463,0.01127546709648613,0.007749545192494112,0.007763001557737584,1.7509681679322954e-06,0.003695901893040997
2.0,8,0.007826284383380757,0.007846961652589565,0.0014937295317879978,0.0012872341564923275,0.011256719509454642,0.007708665899767838,0.0077464809751719346,9.339899793381483e-07,0.0036677142993484686
2.0,9,0.007790430777867868,0.007811629772684086,0.001608192697230365,0.0014160675295679548,0.011238500896914905,0.0076716248898803935,0.007707924624635183,4.982028214334764e-07,0.0036397416844246326
2.0,10,0.007772790951882667,0.007809794209838091,0.0016203991949397753,0.0013407281124154285,0.011217504633565887,0.007647960320059192,0.007702809355173431,2.6574808806852746e-07,0.003611982408687498
