rho,t,trial,half_width,grid_size,grid_step,score_rel_error,mean_rel_error,identity_residual,resolution_ok
0.8,0.01,1,8.0,401,0.04,5.328938245215514e-15,7.374927683912703e-16,3.3994920940646502,1.0
0.8,0.01,2,8.0,401,0.04,5.681096893559322e-15,6.328093896796997e-16,2.4418114038177845,1.0
0.8,0.01,3,8.0,401,0.04,4.854063254083349e-15,6.62990600390721e-16,3.278132356395676,1.0
0.8,0.01,4,8.0,401,0.04,4.506080049154441e-15,6.577550359334792e-16,3.157739475613144,1.0
0.8,0.02,0,8.0,401,0.04,2.958167866448598e-15,4.2766056396887373e-16,2.3421996176090496,1.0
0.8,0.02,1,8.0,401,0.04,4.425659046169171e-15,3.995071847868261e-16,1.4835161482582042,1.0
0.8,0.02,2,8.0,401,0.04,2.7058830994247503e-15,5.135957002594076e-16,3.367307575506777,1.0
0.8,0.02,3,8.0,401,0.04,1.931156244058911e-15,1.0268655847414373e-15,3.3449453750983276,1.0
0.8,0.02,4,8.0,401,0.04,2.450490370306171e-15,1.0206280494176411e-15,3.4513088022636156,1.0
0.8,0.05,0,8.0,401,0.04,1.8096846734989722e-15,5.037092953462591e-16,1.8172934518570942,1.0
0.8,0.05,1,8.0,401,0.04,2.1409268230515337e-15,4.2750843619420713e-16,1.7368851468023632,1.0
0.8,0.05,2,8.0,401,0.04,1.551441920143598e-15,6.339889300176402e-16,2.221483670802101,1.0
0.8,0.05,3,8.0,401,0.04,1.4479584016100713e-15,1.1889367682166592e-15,2.6789107676018706,1.0
0.8,0.05,4,8.0,401,0.04,1.6316719146574874e-15,4.65881077013676e-16,1.9759073745566662,1.0
0.8,0.1,0,8.0,401,0.04,6.385584424524903e-16,1.017924173460775e-15,2.556390904187318,1.0
0.8,0.1,1,8.0,401,0.04,7.344540245743018e-16,7.222576553558668e-16,2.003787094037118,1.0
0.8,0.1,2,8.0,401,0.04,7.96085631007118e-16,4.212099509995187e-16,1.437584272842588,1.0
0.8,0.1,3,8.0,401,0.04,9.287408287541023e-16,4.454349555236046e-16,1.5266013590733827,1.0
0.8,0.1,4,8.0,401,0.04,9.051612740472101e-16,4.371562823384811e-16,1.4962596946125701,1.0
0.8,0.2,0,8.0,401,0.04,6.929937637317333e-16,3.3062661481217816e-16,1.5191595005014993,1.0
0.8,0.2,1,8.0,401,0.04,6.469339789937797e-16,3.9673065482810866e-16,1.4498476483145455,1.0
0.8,0.2,2,8.0,401,0.04,5.267571371712102e-16,6.492216985263198e-16,1.6582365587231345,1.0
0.8,0.2,3,8.0,401,0.04,4.677042793627689e-16,3.5816523257618324e-16,1.5853552181385677,1.0
0.8,0.2,4,8.0,401,0.04,5.3506869930855e-16,4.52117442365644e-16,1.6612732113319704,1.0
0.8,0.4,0,8.0,401,0.04,3.2983910247748977e-16,6.090679380602864e-16,1.711006442602125,1.0
0.8,0.4,1,8.0,401,0.04,3.894002147197828e-16,7.148316626965135e-16,1.1833924514615353,1.0
0.8,0.4,2,8.0,401,0.04,3.793361815661609e-16,7.513297832559576e-16,1.2451776286486549,1.0
0.8,0.4,3,8.0,401,0.04,4.1062904825853497e-16,4.881177226299205e-16,1.462129734798439,1.0
0.8,0.4,4,8.0,401,0.04,4.971701264380522e-16,5.1611743364896315e-16,1.2746797991966279,1.0
0.8,0.8,0,8.0,401,0.04,2.521246046462223e-16,3.8857330915847466e-16,1.1945909151946565,1.0
0.8,0.8,1,8.0,401,0.04,3.1766412278914564e-16,6.354799793400379e-16,1.3512766471299134,1.0
0.8,0.8,2,8.0,401,0.04,3.5138961917373515e-16,5.79690815923134e-16,1.1975650633996096,1.0
0.8,0.8,3,8.0,401,0.04,3.465472229168421e-16,5.747355267692284e-16,1.2095729634851422,1.0
0.8,0.8,4,8.0,401,0.04,3.5822959663928814e-16,4.178825200076837e-16,1.181286797540065,1.0
0.8,1.6,0,8.0,401,0.04,4.093276351407566e-16,5.6770076227300906e-15,0.7725360021715331,1.0
0.8,1.6,1,8.0,401,0.04,1.7878101403872335e-14,2.1955758383399593e-13,0.017288876628741255,1.0
0.8,1.6,2,8.0,401,0.04,5.26154271115185e-16,6.575157497079308e-15,0.6026989397147662,1.0
0.8,1.6,3,8.0,401,0.04,5.415263000966669e-15,5.154013781301819e-14,0.049882712308469954,1.0
0.8,1.6,4,8.0,401,0.04,2.354186263053203e-14,2.0320353920609188e-13,0.008360680496356741,1.0
0.8,2.4,0,8.0,401,0.04,3.2336040660888114e-15,2.752785983271154e-13,0.08429958715107401,1.0
0.8,2.4,1,8.0,401,0.04,4.8086158776997396e-15,3.6302436048066264e-13,0.06954086880160035,1.0
0.8,2.4,2,8.0,401,0.04,1.6692846342490154e-15,1.4626184181014997e-13,0.18393559540004742,1.0
0.8,2.4,3,8.0,401,0.04,4.79284645082135e-15,3.060318979996284e-13,0.06548569653348817,1.0
0.8,2.4,4,8.0,401,0.04,1.509437077995901e-15,1.889400701933002e-13,0.2428867460444268,1.0
0.8,0.005,0,8.0,801,0.02,5.700141662964834e-15,5.952700816165377e-16,4.718854143800914,1.0
0.8,0.005,1,8.0,801,0.02,4.487943416655687e-15,8.267145429548905e-16,6.368728078643201,1.0
0.8,0.005,2,8.0,801,0.02,8.032536518413464e-15,6.020027327591766e-16,3.64496990556547,1.0
0.8,0.005,3,8.0,801,0.02,9.069911403197496e-15,6.871157114282091e-16,4.033130694532557,1.0
0.8,0.005,4,8.0,801,0.02,6.061659846927687e-15,7.819500532759484e-16,6.636718809496818,1.0
0.8,0.01,0,8.0,801,0.02,4.688592350773021e-15,9.118458066119718e-16,3.6241636607680157,1.0
0.8,0.01,1,8.0,801,0.02,4.2195870174596385e-15,7.204151687158563e-16,4.283173128335169,1.0
0.8,0.01,2,8.0,801,0.02,4.092721692580728e-15,6.326992312693702e-16,3.3793744991073043,1.0
0.8,0.01,3,8.0,801,0.02,4.340985623072481e-15,6.414600030800585e-16,3.665008706085859,1.0
0.8,0.01,4,8.0,801,0.02,3.4336418143036736e-15,6.048687327395852e-16,4.149011571084223,1.0
0.8,0.02,0,8.0,801,0.02,3.18573012784303e-15,4.322048140889447e-16,2.1754682901042366,1.0
0.8,0.02,1,8.0,801,0.02,2.742380689236705e-15,3.384959646011588e-16,2.3636004316468444,1.0
0.8,0.02,2,8.0,801,0.02,2.450935568660817e-15,5.282532072565532e-16,3.717554363008286,1.0
0.8,0.02,3,8.0,801,0.02,1.0758448615401906e-15,1.0019615588045852e-15,6.0008680061519,1.0
0.8,0.02,4,8.0,801,0.02,1.5668863344944383e-15,9.153486416208209e-16,5.37880736148341,1.0
0.8,0.05,0,8.0,801,0.02,1.2695596526365117e-15,5.2514692918163e-16,2.5813132313460483,1.0
0.8,0.05,1,8.0,801,0.02,1.743284805385128e-15,3.581130350083627e-16,2.14841506225309,1.0
0.8,0.05,2,8.0,801,0.02,1.540850842189282e-15,6.376407807648974e-16,2.2345510069834247,1.0
0.8,0.05,3,8.0,801,0.02,1.3319250688102676e-15,1.1023870740889884e-15,2.9364017031904557,1.0
0.8,0.05,4,8.0,801,0.02,1.559245048620671e-15,4.333621912030993e-16,2.0237536551997177,1.0
0.8,0.1,0,8.0,801,0.02,6.540025941812803e-16,1.0281582668953705e-15,2.5065491390152745,1.0
0.8,0.1,1,8.0,801,0.02,4.82339136428964e-16,6.037841673703779e-16,3.1160656623382637,1.0
0.8,0.1,2,8.0,801,0.02,9.064174824268056e-16,3.40977703541732e-16,1.2910944051201594,1.0
0.8,0.1,3,8.0,801,0.02,7.557900263264419e-16,3.935641766664467e-16,1.8886262182619926,1.0
0.8,0.1,4,8.0,801,0.02,6.07976802211449e-16,3.994532603866305e-16,2.2514396010423683,1.0
0.8,0.2,0,8.0,801,0.02,4.849838344860004e-16,3.6643294410503847e-16,2.1448591830941304,1.0
0.8,0.2,1,8.0,801,0.02,5.148599632975939e-16,4.392911843999129e-16,1.8233902188064646,1.0
0.8,0.2,2,8.0,801,0.02,5.060543901761444e-16,6.830924562449396e-16,1.7591909349172832,1.0
0.8,0.2,3,8.0,801,0.02,5.565344236320259e-16,3.905044906819972e-16,1.4421600775151808,1.0
0.8,0.2,4,8.0,801,0.02,4.789517362558844e-16,4.357464557999312e-16,1.8508295369534253,1.0
0.8,0.4,0,8.0,801,0.02,3.455017919637448e-16,5.406055350135075e-16,1.6762295298318075,1.0
0.8,0.4,1,8.0,801,0.02,3.399422028131647e-16,7.331042603575061e-16,1.4280222189047633,1.0
0.8,0.4,2,8.0,801,0.02,4.3679903012965614e-16,5.957490039855018e-16,1.0656823961527513,1.0
0.8,0.4,3,8.0,801,0.02,3.9434300156138846e-16,4.518137436515573e-16,1.515164755759785,1.0
0.8,0.4,4,8.0,801,0.02,4.489469885434262e-16,5.058962743508035e-16,1.3885807862652295,1.0
0.8,0.8,0,8.0,801,0.02,2.7472496286339533e-16,3.1482633420119146e-16,1.071254753803051,1.0
0.8,0.8,1,8.0,801,0.02,3.2827740637571387e-16,5.593049217270497e-16,1.2919558093509351,1.0
0.8,0.8,2,8.0,801,0.02,3.161156111986052e-16,5.539180811037879e-16,1.297864093525831,1.0
0.8,0.8,3,8.0,801,0.02,3.6119300959995647e-16,5.206547896128499e-16,1.1654537512131364,1.0
0.8,0.8,4,8.0,801,0.02,3.022890551460742e-16,6.002814110541541e-16,1.3824015311737827,1.0
0.8,1.6,0,8.0,801,0.02,4.0737617641328984e-16,5.635928861422913e-15,0.7178922683924106,1.0
0.8,1.6,1,8.0,801,0.02,1.779916211624144e-14,2.182043754052033e-13,0.01949664238335566,1.0
0.8,1.6,2,8.0,801,0.02,5.383076434799863e-16,6.818269873039179e-15,0.5761185820441089,1.0
0.8,1.6,3,8.0,801,0.02,5.329410620020511e-15,5.0910903729612613e-14,0.05679099006224496,1.0
0.8,1.6,4,8.0,801,0.02,2.338299654857463e-14,2.019606150447078e-13,0.009742455028585329,1.0
0.8,2.4,0,8.0,801,0.02,3.200197031997137e-15,2.7227051972179546e-13,0.08614610636248422,1.0
0.8,2.4,1,8.0,801,0.02,4.7952025518124086e-15,3.616532362390731e-13,0.06827591810986527,1.0
0.8,2.4,2,8.0,801,0.02,1.6570388411694593e-15,1.451805704661835e-13,0.18850677278095135,1.0
0.8,2.4,3,8.0,801,0.02,4.75851124682735e-15,3.0308556191459527e-13,0.06450241184860121,1.0
0.8,2.4,4,8.0,801,0.02,1.4722142709982567e-15,1.8500347788359953e-13,0.23997015382514542,1.0
0.95,0.005,0,8.0,101,0.16,0.018403174399506138,0.0006036371717130044,2.0737297585612145e-12,0.0
0.95,0.005,1,8.0,101,0.16,0.01774843491772043,0.0007760341168228836,2.6740891746782977e-12,0.0
0.95,0.005,2,8.0,101,0.16,0.012029615379415071,0.0008208186454850313,4.602233588364495e-12,0.0
0.95,0.005,3,8.0,101,0.16,0.0166072454642272,0.0016357005175914258,2.4854614588308407e-12,0.0
0.95,0.005,4,8.0,101,0.16,0.017953237610492362,0.0008597833776360246,3.1554546848216075e-12,0.0
0.95,0.01,0,8.0,101,0.16,0.00011826157940687656,8.69089158031535e-06,2.3076724087226038e-10,0.0
0.95,0.01,1,8.0,101,0.16,0.00013805293255896202,4.11684830284917e-06,1.724892315979082e-10,0.0
0.95,0.01,2,8.0,101,0.16,0.00014243635721201077,1.3236960892090956e-05,2.3253525328315907e-10,0.0
0.95,0.01,3,8.0,101,0.16,9.584428261104729e-05,7.039412861373875e-06,2.6145429071661044e-10,0.0
0.95,0.01,4,8.0,101,0.16,0.00010124074001403426,6.399308245066355e-06,2.550463400089697e-10,0.0
0.95,0.02,0,8.0,101,0.16,3.971381516164761e-08,4.9925745746386255e-09,4.134290222080743e-07,0.0
0.95,0.02,1,8.0,101,0.16,3.300160617470107e-08,9.250881613074096e-09,5.095284131481488e-07,0.0
0.95,0.02,2,8.0,101,0.16,3.901983138630578e-08,5.159559704307991e-09,2.6640238949116634e-07,0.0
0.95,0.02,3,8.0,101,0.16,2.796567802113679e-08,5.467856208433798e-09,4.828317608778785e-07,0.0
0.95,0.02,4,8.0,101,0.16,3.474435827577023e-08,6.037576351270949e-09,3.4948213784041915e-07,0.0
0.95,0.05,0,8.0,101,0.16,3.5049355860280294e-15,1.6944526184357861e-15,1.1601430032951412,0.0
0.95,0.05,1,8.0,101,0.16,4.1026176930081775e-15,3.5695991606607195e-15,1.493919959635529,0.0
0.95,0.05,2,8.0,101,0.16,2.8222831091966446e-15,4.251675185228113e-15,2.2504108955983195,0.0
0.95,0.05,3,8.0,101,0.16,4.531004433416799e-15,1.5775357587368792e-15,1.1553090402537398,0.0
0.95,0.05,4,8.0,101,0.16,4.558180968572504e-15,5.821434893143327e-16,0.9647763336031278,0.0
0.95,0.1,0,8.0,101,0.16,1.175705927087611e-15,2.0907248025195118e-15,2.295018334094326,0.0
0.95,0.1,1,8.0,101,0.16,1.495770905875254e-15,1.4257931056809714e-15,1.301049034176745,0.0
0.95,0.1,2,8.0,101,0.16,1.9134825781769547e-15,1.115926870838238e-15,1.3062394867284681,0.0
0.95,0.1,3,8.0,101,0.16,2.1206908151803466e-15,8.354727429199418e-16,0.9414580545596833,0.0
0.95,0.1,4,8.0,101,0.16,3.3752110153324454e-15,7.001481617797102e-16,0.8654799361399312,0.0
0.95,0.2,0,8.0,101,0.16,1.3261165799324666e-15,9.363203070928142e-16,0.9951184107673282,1.0
0.95,0.2,1,8.0,101,0.16,1.7908617031851144e-15,1.2877345298257516e-15,0.7476470001753633,1.0
0.95,0.2,2,8.0,101,0.16,9.972433877292613e-16,6.7829679681913305e-16,0.843108676220904,1.0
0.95,0.2,3,8.0,101,0.16,1.5210237161346742e-15,1.7232037376331577e-15,0.8522005783842963,1.0
0.95,0.2,4,8.0,101,0.16,1.6314749369219663e-15,7.230912011150546e-16,1.0792919998671102,1.0
0.95,0.4,0,8.0,101,0.16,4.731778321783148e-16,3.5244434610349805e-16,1.1278826890136129,1.0
0.95,0.4,1,8.0,101,0.16,9.494357111842044e-16,1.7894380557596337e-15,0.6645756374512062,1.0
0.95,0.4,2,8.0,101,0.16,5.428785320286312e-16,4.2516044826988595e-16,1.4407844626377226,1.0
0.95,0.4,3,8.0,101,0.16,8.82356940255797e-16,1.2930739606342722e-15,0.581609355892082,1.0
0.95,0.4,4,8.0,101,0.16,5.146201407455843e-16,1.8381469242865947e-15,0.9037502913172608,1.0
0.95,0.8,0,8.0,101,0.16,2.8431251315449533e-16,3.0323380849203317e-16,0.9873066984216293,1.0
0.95,0.8,1,8.0,101,0.16,1.9268757920593457e-15,4.412499065451321e-15,0.12071969891256874,1.0
0.95,0.8,2,8.0,101,0.16,2.068296993358068e-15,1.872078014727625e-15,0.17355463532630944,1.0
0.95,0.8,3,8.0,101,0.16,7.450226935052622e-16,5.97449889562501e-16,0.7474349468972178,1.0
0.95,0.8,4,8.0,101,0.16,5.778233518384378e-16,1.29812201623707e-15,0.6389959226202856,1.0
0.95,1.6,0,8.0,101,0.16,2.7227216914823053e-16,2.0225328386171695e-15,0.9390071258004636,1.0
0.95,1.6,1,8.0,101,0.16,3.625273195217402e-16,1.7725234605251954e-15,1.0660094430149718,1.0
0.95,1.6,2,8.0,101,0.16,7.407951533022414e-16,4.218868672596121e-15,0.3912723564613868,1.0
0.95,1.6,3,8.0,101,0.16,3.2477081484027376e-16,2.4506184265511856e-15,0.7718148848458124,1.0
0.95,1.6,4,8.0,101,0.16,2.3252949633537545e-16,5.599595129773014e-16,0.9231293297810074,1.0
0.95,2.4,0,8.0,101,0.16,5.744062010722194e-15,1.7803502713278575e-13,0.042620795726298656,1.0
0.95,2.4,1,8.0,101,0.16,3.97788552487527e-16,3.4385810739245766e-14,0.44833889670990124,1.0
0.95,2.4,2,8.0,101,0.16,2.0844494160232535e-15,9.051217811845723e-14,0.1108686153046045,1.0
0.95,2.4,3,8.0,101,0.16,5.598893907603032e-14,9.444865394554174e-13,0.004912008906582981,1.0
0.95,2.4,4,8.0,101,0.16,1.0261172037046064e-14,2.698492699111849e-13,0.022943344313623427,1.0
0.95,0.005,0,8.0,201,0.08,8.362482813091451e-11,2.7437000179896606e-12,0.00045612688692700927,0.0
0.95,0.005,1,8.0,201,0.08,9.379292366618093e-11,4.100404652126489e-12,0.0005061045361980667,0.0
0.95,0.005,2,8.0,201,0.08,6.742416101045657e-11,4.599639709362954e-12,0.0008246417273263201,0.0
0.95,0.005,3,8.0,201,0.08,1.0069212143395135e-10,9.917608241312197e-12,0.00041012177842036137,0.0
0.95,0.005,4,8.0,201,0.08,9.484540286354953e-11,4.542395683065567e-12,0.0005981484854197687,0.0
0.95,0.01,0,8.0,201,0.08,7.075558800840005e-15,2.0572632705720705e-15,3.837424120850443,0.0
0.95,0.01,1,8.0,201,0.08,7.293503318383665e-15,6.779576290562183e-16,3.305466570197413,0.0
0.95,0.01,2,8.0,201,0.08,4.9635949604190506e-15,3.0384320043471628e-15,6.679781633034292,0.0
0.95,0.01,3,8.0,201,0.08,5.092456488151283e-15,1.7034043760715648e-15,4.911432116730545,0.0
0.95,0.01,4,8.0,201,0.08,6.430501582823232e-15,1.614943211168565e-15,3.9999500962494428,0.0
0.95,0.02,0,8.0,201,0.08,4.5458867041775715e-15,1.891342990865508e-15,3.5942010272617764,0.0
0.95,0.02,1,8.0,201,0.08,4.3859631405413694e-15,4.721498868749482e-15,3.819585674889715,0.0
0.95,0.02,2,8.0,201,0.08,4.988463853532359e-15,1.1288662043404993e-15,2.0944634906518593,0.0
0.95,0.02,3,8.0,201,0.08,4.417577673680976e-15,2.2687215872845534e-15,3.040388481454551,0.0
0.95,0.02,4,8.0,201,0.08,2.3640696384292772e-15,2.0782947322866747e-15,5.1667846422648305,0.0
0.95,0.05,0,8.0,201,0.08,2.2102850217810227e-15,1.1895861946646388e-15,1.8393434650872904,1.0
0.95,0.05,1,8.0,201,0.08,2.273027114874369e-15,2.9727283356413774e-15,2.712184831317915,1.0
