rho,grid_size,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.8,101,0.01,1.5774691044165235e-05,3.452060642986675e-06,7.458907758840046e-07,1.2572799467220034e-09,0.0
0.8,101,0.02,5.154877076911966e-11,9.389886080446888e-12,4.569666219554023e-12,0.00018907642981122935,0.0
0.8,101,0.05,1.788408056871589e-15,8.664876309330117e-17,6.391177045314988e-16,2.1964057669883847,0.0
0.8,101,0.1,9.401403539724594e-16,1.4982816569981754e-16,6.100468648335156e-16,2.0379935565427783,0.0
0.8,101,0.2,7.574163533015049e-16,5.265355653130527e-17,5.16564231557318e-16,1.44466090437497,1.0
0.8,101,0.4,6.35539070655587e-16,9.060389770396682e-17,9.586758622339874e-16,0.9634016258554686,1.0
0.8,101,0.8,3.891499539065066e-16,4.5339980314415254e-17,9.270303407412322e-16,1.2160727886802565,1.0
0.8,101,1.6,1.0775976017811778e-14,1.1979462427276933e-14,1.0979451177736504e-13,0.707525211189063,1.0
0.8,101,2.4,3.5511473627960617e-15,1.8260580071538817e-15,2.8407580055258617e-13,0.21438554667159718,1.0
0.8,201,0.005,6.769494944427991e-12,9.117107981381568e-13,1.4736788076510414e-13,0.005780974726304224,0.0
0.8,201,0.01,4.763826887549409e-15,1.3099936677216555e-15,7.162057917233017e-16,4.165816654382929,0.0
0.8,201,0.02,3.2541169933067754e-15,1.4154932282205902e-15,6.926464677059778e-16,4.5621549281328795,0.0
0.8,201,0.05,1.7687383871981522e-15,1.7592089955024606e-16,6.554144745768867e-16,2.278266148819129,1.0
0.8,201,0.1,9.237158598531943e-16,1.0744669194580128e-16,6.222317738335688e-16,1.7558242769704921,1.0
0.8,201,0.2,7.749184300756064e-16,7.409144461898308e-17,5.176395655675121e-16,1.3026465224925021,1.0
0.8,201,0.4,5.955996752237372e-16,1.0990505674584368e-16,9.118918985842755e-16,1.0573562113269932,1.0
0.8,201,0.8,3.8545024483375115e-16,6.703526289262463e-17,9.071933666873469e-16,1.238566126040113,1.0
0.8,201,1.6,9.772052302611397e-15,1.0872244431653087e-14,9.965636543034174e-14,0.73294876123671,1.0
0.8,201,2.4,3.249504094462541e-15,1.653559119002091e-15,2.5941619159856123e-13,0.256918720773087,1.0
0.8,401,0.005,8.1293813116044e-15,1.6657977043230822e-15,7.025804794447314e-16,5.19417817447538,0.0
0.8,401,0.01,5.411951622716622e-15,8.431350082465414e-16,7.285370715733761e-16,3.3994920940646502,1.0
0.8,401,0.02,2.89427132528152e-15,9.366500732633984e-16,6.776514166348372e-16,3.4513088022636156,1.0
0.8,401,0.05,1.7163367465923325e-15,2.717424985611053e-16,6.440049013576883e-16,2.6789107676018706,1.0
0.8,401,0.1,8.006000401670446e-16,1.2042245221406984e-16,6.087966035356493e-16,2.556390904187318,1.0
0.8,401,0.2,5.738915717136085e-16,9.290470494412331e-17,4.3737232862168676e-16,1.6612732113319704,1.0
0.8,401,0.4,4.0127493469200416e-16,6.125516963477962e-17,6.158929080583281e-16,1.711006442602125,1.0
0.8,401,0.8,3.2519103323304666e-16,4.367309464165019e-17,5.192724302397118e-16,1.3512766471299134,1.0
0.8,401,1.6,9.554141788325395e-15,1.0573636320637235e-14,9.731068519458308e-14,0.7725360021715331,1.0
0.8,401,2.4,3.202757621370963e-15,1.6067816118691004e-15,2.5590735376217136e-13,0.2428867460444268,1.0
0.8,801,0.005,6.670438569631834e-15,1.8498752264790705e-15,6.986106244069524e-16,6.636718809496818,1.0
0.8,801,0.01,4.155105699637909e-15,4.603583102870814e-16,7.022577884833684e-16,4.283173128335169,1.0
0.8,801,0.02,2.2043555163550364e-15,8.650537834110856e-16,6.432528372744125e-16,6.0008680061519,1.0
0.8,801,0.05,1.4889730835283721e-15,1.9046668696782383e-16,6.113300020493955e-16,2.9364017031904557,1.0
0.8,801,0.1,6.813052083149883e-16,1.5963513845012922e-16,5.531875149721115e-16,3.1160656623382637,1.0
0.8,801,0.2,5.082768695695298e-16,3.073921351078637e-17,4.630135062463639e-16,2.1448591830941304,1.0
0.8,801,0.4,3.9310660300227613e-16,5.030252729372783e-17,5.654337634717752e-16,1.6762295298318075,1.0
0.8,801,0.8,3.1652000903674903e-16,3.195083270585214e-17,5.097971075398066e-16,1.3824015311737827,1.0
0.8,801,1.6,9.491450620945972e-15,1.0511837056463355e-14,9.670601858279718e-14,0.7178922683924106,1.0
0.8,801,2.4,3.1766327885609217e-15,1.6075502369107588e-15,2.534386732450494e-13,0.23997015382514542,1.0
0.95,101,0.005,0.01654834155427224,0.002611355864655419,0.0009391947658496739,4.602233588364495e-12,0.0
0.95,101,0.01,0.0001191671783605862,2.1001554486886217e-05,7.896684376339142e-06,2.6145429071661044e-10,0.0
0.95,101,0.02,3.488905780391229e-08,4.792133480314956e-09,6.181689690345092e-09,5.095284131481488e-07,0.0
0.95,101,0.05,3.903804358044431e-15,7.399155245891028e-16,2.335081242475166e-15,2.2504108955983195,0.0
0.95,101,0.1,2.0161722483305224e-15,8.434537426201177e-16,1.2336131367476746e-15,2.295018334094326,0.0
0.95,101,0.2,1.4533440647806966e-15,3.059591310775366e-16,1.0697293144971823e-15,1.0792919998671102,1.0
0.95,101,0.4,6.724938312785064e-16,2.248279480039922e-16,1.139652747010777e-15,1.4407844626377226,1.0
0.95,101,0.8,1.1204662687831218e-15,8.19031702417307e-16,1.6966765588941101e-15,0.9873066984216293,1.0
0.95,101,1.6,3.865789906295723e-16,2.0412319779087828e-16,2.204900582253395e-15,1.0660094430149718,1.0
0.95,101,2.4,1.489528221846187e-14,2.328198446266249e-14,3.034537650714182e-13,0.44833889670990124,1.0
0.95,201,0.005,8.807588742101057e-11,1.307656239197608e-11,5.180749660771374e-12,0.0008246417273263201,0.0
0.95,201,0.01,6.1711230301234475e-15,1.0916345950364516e-15,1.818400098243116e-15,6.679781633034292,0.0
0.95,201,0.02,4.140392202072311e-15,1.0217766437493346e-15,2.4177448767053434e-15,5.1667846422648305,0.0
0.95,201,0.05,2.3511613117949054e-15,4.733115368674516e-16,1.965536942604812e-15,2.865072632095956,1.0
0.95,201,0.1,1.91374665887102e-15,7.480438150114701e-16,1.2420620019066099e-15,2.2206543732378328,1.0
0.95,201,0.2,1.4647271748056335e-15,2.7711853437327735e-16,1.0800807698561911e-15,1.0285443213116183,1.0
0.95,201,0.4,6.865613751424456e-16,2.1168163872807869e-16,1.1446267669222969e-15,1.2789590574693093,1.0
0.95,201,0.8,1.0942839813401175e-15,7.90644603357435e-16,1.6713603204853218e-15,0.9621604337017204,1.0
0.95,201,1.6,3.8739087100791023e-16,2.0846988444276148e-16,2.1897936675315605e-15,1.0259593718688629,1.0
0.95,201,2.4,1.340168879542698e-14,2.0982513192949345e-14,2.7275252382609547e-13,0.4635962724760688,1.0
0.95,401,0.005,8.714412801447578e-15,8.291639490204977e-16,2.614610268620722e-15,6.850473119880056,0.0
0.95,401,0.01,6.193523290246899e-15,1.4213866079674723e-15,1.8058394651863986e-15,6.682088325890992,1.0
0.95,401,0.02,4.0848174771847736e-15,1.137571333384145e-15,2.395003051973813e-15,5.875185236265201,1.0
0.95,401,0.05,2.0648001536264515e-15,2.039868614951844e-16,1.962261624119598e-15,3.042452035631274,1.0
0.95,401,0.1,1.4693646097518473e-15,3.3481767355238567e-16,1.1044668899405766e-15,2.453995458042642,1.0
0.95,401,0.2,9.642874223261151e-16,2.2592117645929665e-16,7.890317808931527e-16,1.4890861285780637,1.0
0.95,401,0.4,5.753475383819714e-16,9.322958804597136e-17,9.411776686195284e-16,1.2338378832012895,1.0
0.95,401,0.8,3.928950227310283e-16,1.0387171761594749e-16,5.042463964484195e-16,1.0306272732143387,1.0
0.95,401,1.6,2.885819095041515e-16,5.905671630595902e-17,1.9485243696853076e-15,1.0528295416684696,1.0
0.95,401,2.4,1.3142897343179757e-14,2.034772841491363e-14,2.672902315863176e-13,0.6624179195096036,1.0
0.95,801,0.005,7.837686791576169e-15,6.098847031323063e-16,2.634594149190754e-15,7.298753961529412,1.0
0.95,801,0.01,6.1666191251784e-15,1.2302104343111957e-15,1.7930052524152156e-15,6.792198571246165,1.0
0.95,801,0.02,3.866348296958269e-15,1.0373032512258006e-15,2.413129757364768e-15,5.92348023077801,1.0
0.95,801,0.05,1.8427039064614317e-15,1.6261922387385408e-16,1.924861478791825e-15,3.3115884613494746,1.0
0.95,801,0.1,1.2642542271176068e-15,2.5865339224941484e-16,1.0628531749314812e-15,2.8855859849716756,1.0
0.95,801,0.2,8.383396183194557e-16,1.710166992237741e-16,6.95737691025345e-16,1.7615218697851143,1.0
0.95,801,0.4,4.552826091853693e-16,8.44321092927657e-17,7.041648488554265e-16,1.3871105769277314,1.0
0.95,801,0.8,3.6973600294086004e-16,1.129711909968272e-16,3.338033528351179e-16,1.0086960296494487,1.0
0.95,801,1.6,2.7857666873975476e-16,5.60641232549476e-17,1.1830370251990291e-15,1.1056552553713226,1.0
0.95,801,2.4,1.3015269297587759e-14,2.021151664932661e-14,2.649266286543129e-13,0.6540197717768006,1.0
