rho,t,trial,half_width,grid_size,grid_step,score_rel_error,mean_rel_error,identity_residual,resolution_ok
0.95,0.4,0,4.0,201,0.04,2.5905248815526273e-07,1.891505704356014e-07,2.1285458173111304e-09,1.0
0.95,0.4,1,4.0,201,0.04,2.732916915846848e-12,5.221361084828327e-12,0.0002406193080504953,1.0
0.95,0.4,2,4.0,201,0.04,3.070540799803638e-08,2.8272608818139037e-08,2.583758910448207e-08,1.0
0.95,0.4,3,4.0,201,0.04,3.590707567994613e-08,5.5961787961083925e-08,1.3870662392885319e-08,1.0
0.95,0.4,4,4.0,201,0.04,3.0807779111390182e-12,1.2342514176478051e-11,0.00015079768909478553,1.0
0.95,0.4,0,5.0,201,0.05,7.537059313651204e-14,5.516866359881564e-14,0.0064938332271073694,1.0
0.95,0.4,1,5.0,201,0.05,5.355390458548297e-16,8.278515384012111e-16,1.2308912508413499,1.0
0.95,0.4,2,5.0,201,0.05,2.3645828095467952e-15,2.2653676575329957e-15,0.3533650217890219,1.0
0.95,0.4,3,5.0,201,0.05,1.5429577292170176e-13,2.402100371102986e-13,0.003378121434567992,1.0
0.95,0.4,4,5.0,201,0.05,3.7973609001484325e-16,1.6155894244686615e-15,1.1653697246553956,1.0
0.95,0.4,0,6.0,201,0.06,4.499557241060923e-16,4.229940821612868e-16,1.1111482056836512,1.0
0.95,0.4,1,6.0,201,0.06,5.629475381846578e-16,8.324226414673764e-16,1.1905048365339144,1.0
0.95,0.4,2,6.0,201,0.06,6.084295776291761e-16,4.794500835184198e-16,1.2980511321893289,1.0
0.95,0.4,3,6.0,201,0.06,3.905783467698286e-16,3.9251481479963797e-16,1.2641827468988154,1.0
0.95,0.4,4,6.0,201,0.06,3.8212962755959186e-16,1.6289602403217978e-15,1.1491692597406071,1.0
0.95,0.4,0,7.0,201,0.07,4.6967307548196e-16,3.768601883851097e-16,1.15480202017787,1.0
0.95,0.4,1,7.0,201,0.07,5.199232919277757e-16,8.453669814929562e-16,1.2438341384103426,1.0
0.95,0.4,2,7.0,201,0.07,5.996392107705973e-16,4.2516044826988595e-16,1.3207428209109615,1.0
0.95,0.4,3,7.0,201,0.07,4.638873622401193e-16,4.288403421763257e-16,1.1708158921652276,1.0
0.95,0.4,4,7.0,201,0.07,3.6560277847507035e-16,1.4258600753969495e-15,1.2103772789559561,1.0
0.95,0.4,0,8.0,201,0.08,4.728335735376197e-16,4.2501798884711526e-16,1.0785690894537885,1.0
0.95,0.4,1,8.0,201,0.08,9.649154179797613e-16,1.6948038049580116e-15,0.6596580404644758,1.0
