rho,half_width,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.5,8.0,0.005,1.3704637354648244e-14,3.067249632612787e-15,3.438446384687208e-16,2.85082278049191,1.0
0.5,8.0,0.01,6.742629264852402e-15,1.999347738837593e-15,3.7932963108172134e-16,3.611607955710624,1.0
0.5,8.0,0.02,3.727746149474377e-15,7.651418063034177e-16,4.1006519947636537e-16,2.580962943507,1.0
0.5,8.0,0.05,1.3254777809263195e-15,2.1466604417444377e-16,4.269013352265714e-16,3.2784352076943613,1.0
0.5,8.0,0.1,7.514452753344053e-16,2.499846036278988e-16,3.4632685399136045e-16,2.7100129609157593,1.0
0.5,8.0,0.2,4.949571062350909e-16,1.2509930604031503e-16,3.8656153686071184e-16,2.0078450534505445,1.0
0.5,8.0,0.4,3.4074932339547515e-16,6.246779677898915e-17,3.426433927678562e-16,1.728470855202667,1.0
0.5,8.0,0.8,1.8087276891864704e-15,2.176513213344688e-15,5.583717227668367e-15,1.2606602371921014,1.0
0.5,8.0,1.6,6.14786328343063e-15,4.528662106323402e-15,1.1925492632375847e-13,0.13396316831678992,1.0
0.5,8.0,2.4,1.634118713036658e-15,6.182027758575786e-16,1.6326995263569954e-13,0.34084755085662777,1.0
0.8,4.0,0.005,7.208443161611115e-15,8.724311391177207e-16,7.06973871838483e-16,5.305636089573334,1.0
0.8,4.0,0.01,3.911553934483392e-15,3.5204607772340707e-16,7.178252207921378e-16,4.285877761227836,1.0
0.8,4.0,0.02,7.069286872285761e-05,0.0001580740599840744,3.916788623700082e-06,5.379767646623733,1.0
0.8,4.0,0.05,0.0004859270875714395,0.0008094744444411243,6.023154025232726e-05,3.0831310367528766,1.0
0.8,4.0,0.1,9.136134518048934e-06,2.038552998810953e-05,3.1698028184275293e-06,0.12324834856416646,1.0
0.8,4.0,0.2,0.0004795306028206204,0.0010395992765156704,0.00018724778383077246,5.40981843360022e-06,1.0
0.8,4.0,0.4,7.876770908277848e-07,5.734558936519774e-07,1.1139360230765336e-06,2.195850390973742e-08,1.0
0.8,4.0,0.8,6.407000564320219e-05,5.575433169677405e-05,0.00021030676012123617,1.9057842942353685e-11,1.0
0.8,4.0,1.6,0.000296303125013171,0.0001933057112130872,0.003228502977565134,3.5242129966908463e-12,1.0
0.8,4.0,2.4,4.685319155519036e-05,1.551453928969627e-05,0.0039584518661862095,1.2052237621764016e-11,1.0
0.8,5.0,0.005,6.8013138741053996e-15,7.292641941555398e-16,7.137118679815839e-16,6.013623500356491,1.0
0.8,5.0,0.01,3.965107890943381e-15,2.0458254824336458e-16,6.965495746670983e-16,4.889212063841072,1.0
0.8,5.0,0.02,2.27882818254897e-15,6.685505079459838e-16,6.440469600992299e-16,4.566552331290708,1.0
0.8,5.0,0.05,8.554449358449661e-12,1.6423446217154015e-11,1.0105599180892701e-12,3.124564642647978,1.0
0.8,5.0,0.1,1.2956492458159335e-11,2.8969300801951744e-11,4.494132141676918e-12,2.575723654219177,1.0
0.8,5.0,0.2,1.0068107281465716e-07,2.2472662605444327e-07,3.90240437760827e-08,1.789157902680745,1.0
0.8,5.0,0.4,6.261452516375747e-11,5.030191097631238e-11,9.422472459298554e-11,0.0013843053914593226,1.0
0.8,5.0,0.8,1.3893900366177073e-07,1.6661504571768587e-07,4.4347384643322036e-07,1.6084947039699757e-08,1.0
0.8,5.0,1.6,4.057925272039308e-06,3.2951572015250853e-06,4.297176997747981e-05,4.3375068266363945e-10,1.0
0.8,5.0,2.4,7.012485109406965e-07,2.589156530672558e-07,5.863795810283778e-05,8.6455975962101e-10,1.0
0.8,6.0,0.005,7.603429856782384e-15,1.4441092845401766e-15,6.974049283932318e-16,5.6807909290736385,1.0
0.8,6.0,0.01,3.9084413563267156e-15,9.335742997201e-16,7.245656025554209e-16,5.064641237333106,1.0
0.8,6.0,0.02,2.0202822174907973e-15,6.38004121229262e-16,6.60165999361001e-16,5.138961768508189,1.0
0.8,6.0,0.05,1.5456978920352898e-15,2.68463208504032e-16,6.106980838550283e-16,3.0950679413659516,1.0
0.8,6.0,0.1,6.801059132519493e-16,5.467254490829612e-17,5.868827209623799e-16,2.477267933541994,1.0
0.8,6.0,0.2,1.8339987808715264e-13,4.08977754230382e-13,7.129174157883025e-14,1.89226070087006,1.0
0.8,6.0,0.4,7.709453614750923e-16,5.2535576375834565e-16,1.26156592531141e-15,1.618765935892111,1.0
0.8,6.0,0.8,5.528469931340315e-11,7.603165741671984e-11,1.7200926076492056e-10,8.344900803613185e-05,1.0
0.8,6.0,1.6,1.7022730464143207e-08,1.6053008331397082e-08,1.7683775312519111e-07,1.7225920469422117e-07,1.0
0.8,6.0,2.4,3.377349174669034e-09,1.4011399909507007e-09,2.79048146529963e-07,1.8632336213604467e-07,1.0
0.8,7.0,0.005,7.720960889251524e-15,1.57521586568651e-15,7.092712975262512e-16,5.4788018020713904,1.0
0.8,7.0,0.01,4.5848989620974504e-15,9.122058119999417e-16,6.752402862592166e-16,4.476963188792285,1.0
0.8,7.0,0.02,2.2974466721477343e-15,6.646911355692463e-16,6.409501944392527e-16,5.3455477586094675,1.0
0.8,7.0,0.05,1.3875097525006115e-15,1.2502884928456212e-16,5.82945953509159e-16,2.95436494933789,1.0
0.8,7.0,0.1,6.725417814595396e-16,1.1782750631135702e-16,5.735681573015294e-16,3.052387173689535,1.0
0.8,7.0,0.2,5.271538094911546e-16,6.14709768963416e-17,4.150139890815626e-16,1.8673764164241426,1.0
0.8,7.0,0.4,4.0305115456779026e-16,6.239064417400524e-17,5.703339750211852e-16,1.5163330476390546,1.0
0.8,7.0,0.8,4.3315168197462964e-15,5.6931395875703606e-15,1.3164072307305338e-14,1.195344831679897,1.0
0.8,7.0,1.6,2.2511949159847958e-11,2.347192259439583e-11,2.314460759381575e-10,0.00021898138596707225,1.0
0.8,7.0,2.4,5.521689514028122e-12,2.581369937411976e-12,4.5036617786040683e-10,0.00012967825286344523,1.0
0.8,8.0,0.005,6.670438569631834e-15,1.8498752264790705e-15,6.986106244069524e-16,6.636718809496818,1.0
0.8,8.0,0.01,4.155105699637909e-15,4.603583102870814e-16,7.022577884833684e-16,4.283173128335169,1.0
0.8,8.0,0.02,2.2043555163550364e-15,8.650537834110856e-16,6.432528372744125e-16,6.0008680061519,1.0
0.8,8.0,0.05,1.4889730835283721e-15,1.9046668696782383e-16,6.113300020493955e-16,2.9364017031904557,1.0
0.8,8.0,0.1,6.813052083149883e-16,1.5963513845012922e-16,5.531875149721115e-16,3.1160656623382637,1.0
0.8,8.0,0.2,5.082768695695298e-16,3.073921351078637e-17,4.630135062463639e-16,2.1448591830941304,1.0
0.8,8.0,0.4,3.9310660300227613e-16,5.030252729372783e-17,5.654337634717752e-16,1.6762295298318075,1.0
0.8,8.0,0.8,3.1652000903674903e-16,3.195083270585214e-17,5.097971075398066e-16,1.3824015311737827,1.0
0.8,8.0,1.6,9.491450620945972e-15,1.0511837056463355e-14,9.670601858279718e-14,0.7178922683924106,1.0
