family,excess_kurtosis,radius,receptive_field,parameterization,t,n_params,score_rel_l2_all,score_rel_l2_interior,seconds
gaussian,0.0,8,17,x0,0.4,5569,0.06482528318615648,0.05468320148811117,95.14203567199911
gaussian,0.0,8,17,x0,0.8,5569,0.032186594831775016,0.030252505470153908,95.14203567199911
gaussian,0.0,8,17,x0,1.6,5569,0.014595476023184884,0.015708306560100138,95.14203567199911
gaussian,0.0,12,25,eps,0.1,6081,0.14781010815452977,0.12475869125728431,96.78776321499936
gaussian,0.0,12,25,eps,0.2,6081,0.1104007177540162,0.1029314378204812,96.78776321499936
gaussian,0.0,12,25,eps,0.4,6081,0.07394292327857424,0.07340501699166166,96.78776321499936
gaussian,0.0,12,25,eps,0.8,6081,0.048323682592956954,0.05406135534865132,96.78776321499936
gaussian,0.0,12,25,eps,1.6,6081,0.04826864395219205,0.05200125967413749,96.78776321499936
gaussian,0.0,12,25,x0,0.1,6081,0.1933505883817093,0.16739666844551765,103.13760141199964
gaussian,0.0,12,25,x0,0.2,6081,0.11857731174242887,0.1047982097465704,103.13760141199964
gaussian,0.0,12,25,x0,0.4,6081,0.0663273319579005,0.057066002798439576,103.13760141199964
gaussian,0.0,12,25,x0,0.8,6081,0.028630972279539552,0.02703246749394112,103.13760141199964
gaussian,0.0,12,25,x0,1.6,6081,0.010086781375259793,0.011004713873696802,103.13760141199964
gaussian,0.0,16,33,eps,0.1,6593,0.1470487576994136,0.12488552848739255,101.37112572099977
gaussian,0.0,16,33,eps,0.2,6593,0.10790399083697046,0.09323086333092817,101.37112572099977
gaussian,0.0,16,33,eps,0.4,6593,0.07804847921943547,0.07205371869177216,101.37112572099977
gaussian,0.0,16,33,eps,0.8,6593,0.06114785848810894,0.06129438789185585,101.37112572099977
gaussian,0.0,16,33,eps,1.6,6593,0.05115717591084923,0.05593569396819663,101.37112572099977
gaussian,0.0,16,33,x0,0.1,6593,0.25988363947760673,0.24731959951102156,101.94107034800072
gaussian,0.0,16,33,x0,0.2,6593,0.14257863821153502,0.132534078485981,101.94107034800072
gaussian,0.0,16,33,x0,0.4,6593,0.07853167961165725,0.07913025180378427,101.94107034800072
gaussian,0.0,16,33,x0,0.8,6593,0.0342634651320721,0.036285947862397465,101.94107034800072
