init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01_exact,uniform,-1.2,0.85,0.4,4,0.04759493340058209,0.6156038895542252,0.013223479740988305,75,1.0707783648733376
n01_exact,uniform,-1.2,0.85,0.4,5,0.03299118425243278,0.6156038895542252,0.013223479740988305,75,1.0707783648733376
invariant,uniform,-1.2,0.85,0.1,1,0.0773433519876318,0.3273796141830928,0.02449703815295541,75,1.0959986307347072
invariant,uniform,-1.2,0.85,0.1,2,0.03040460377693641,0.3273796141830928,0.02449703815295541,75,1.0959986307347072
invariant,uniform,-1.2,0.85,0.1,3,0.010255625347936868,0.3273796141830928,0.02449703815295541,75,1.0959986307347072
invariant,uniform,-1.2,0.85,0.1,4,0.004110007017337867,0.3273796141830928,0.02449703815295541,75,1.0959986307347072
invariant,uniform,-1.2,0.85,0.1,5,0.0007910966495751199,0.3273796141830928,0.02449703815295541,75,1.0959986307347072
invariant,uniform,-1.2,0.85,0.4,1,0.24820013625584228,0.6033185645825693,0.02439296375128504,75,1.072967399182018
invariant,uniform,-1.2,0.85,0.4,2,0.11589997367386369,0.6033185645825693,0.02439296375128504,75,1.072967399182018
invariant,uniform,-1.2,0.85,0.4,3,0.07347924768141864,0.6033185645825693,0.02439296375128504,75,1.072967399182018
invariant,uniform,-1.2,0.85,0.4,4,0.053028786607222524,0.6033185645825693,0.02439296375128504,75,1.072967399182018
invariant,uniform,-1.2,0.85,0.4,5,0.029330622803568417,0.6033185645825693,0.02439296375128504,75,1.072967399182018
n01,gauss_mix_kappa0.6,-0.72,0.85,0.1,1,0.08041110155335923,0.2980848991835138,0.022172761967186313,43,0.959947647793962
n01,gauss_mix_kappa0.6,-0.72,0.85,0.1,2,0.02532350675055552,0.2980848991835138,0.022172761967186313,43,0.959947647793962
n01,gauss_mix_kappa0.6,-0.72,0.85,0.1,3,0.007970400086229564,0.2980848991835138,0.022172761967186313,43,0.959947647793962
