family,rho,t,rep,n,n_trials,grid_size,grid_halfwidth,rel_score_gap_mean,rel_score_gap_std,score_cosine_mean,worst_boundary_mass
uniform,0.7,0.3,0,40,200,1201,12.0,0.07474961252844435,0.01799057781006247,0.997362755453431,1.7341440365269646e-61
student,0.85,0.8,0,40,200,801,20.0,0.013400702390953367,0.0100206726550677,0.9998833137319469,3.2035827707364496e-09
student,0.95,0.5,0,40,200,801,20.0,0.013007067533348087,0.01871004047842446,0.9997969990943196,2.692230449720954e-10
mixture,0.95,2.4,0,40,200,801,12.0,2.5380875496025402e-05,2.1500795701187964e-05,0.9999999995419026,5.1405792005685e-31
student,0.85,0.5,0,40,200,801,20.0,0.03150466975537905,0.035373123583792174,0.9991403744558562,4.615065448761377e-09
mixture,0.5,0.15,0,40,200,801,12.0,0.23250166599506192,0.02902165969981901,0.9743229969358478,1.4429320962866668e-75
laplace,0.85,0.15,0,40,200,801,12.0,0.1270449178395811,0.06294656299641654,0.9917004264320799,3.630737265945115e-11
uniform,0.7,1.2,0,40,200,1201,12.0,0.002818922962022493,0.0014523876944785828,0.9999959042408382,5.655449496583728e-32
gaussian,0.95,2.4,0,40,200,801,12.0,6.615521222093836e-17,2.7409042831766274e-17,1.0,4.648290549230188e-31
mixture,0.7,0.15,0,40,200,801,12.0,0.14731992463809418,0.018969956981514578,0.9898237226562608,1.6767586386640798e-75
laplace,0.7,0.8,0,40,200,801,12.0,0.024581121235464094,0.022096289084810292,0.9995967290710561,6.211962724631915e-07
mixture,0.85,0.08,0,40,200,801,12.0,0.13962928827049018,0.021338087104159093,0.9907445794744533,4.9351765305912666e-95
laplace,0.85,0.08,0,40,200,801,12.0,0.19951812578668385,0.07127186753798011,0.9809359328712446,3.550486907259242e-11
laplace,0.85,0.5,0,40,200,801,12.0,0.029884929954124416,0.01857348696836201,0.9994771575939881,1.719749950367098e-11
uniform,0.5,1.2,0,40,200,1201,12.0,0.0035768028824318186,0.0015439445452865585,0.9999936462253742,3.316183680340518e-32
mixture,0.85,0.8,0,40,200,801,12.0,0.004872303231864423,0.002548728343517305,0.9999869054166038,5.61599397388668e-38
mixture,0.95,0.3,0,40,200,801,12.0,0.009599680237873585,0.005528864943325192,0.9999473563889006,8.267529022351675e-48
gaussian,0.95,1.8,0,40,200,801,12.0,8.261899299937858e-17,3.120993799915077e-17,1.0,6.917845381305003e-31
laplace,0.85,2.4,0,40,200,801,12.0,9.169096919550641e-05,5.930240819948107e-05,0.9999999950120071,6.167042695961785e-12
gaussian,0.95,0.8,0,40,200,801,12.0,1.5976627563183164e-16,4.96963860068519e-17,1.0,3.163942593854104e-32
student,0.95,0.3,0,40,200,801,20.0,0.026129694336933715,0.03232284145013466,0.9993359534026146,2.908044003198711e-10
uniform,0.7,0.8,0,40,200,1201,12.0,0.011537639064045823,0.004938210478690815,0.9999326827724139,5.497453879504861e-36
uniform,0.5,0.5,0,40,200,1201,12.0,0.05114253377638162,0.013268943323500728,0.9987745804628,9.434214016395215e-43
laplace,0.5,0.5,0,40,200,801,12.0,0.08404396309892505,0.054068985809484826,0.9960978090105382,6.151561193223655e-08
uniform,0.7,0.5,0,40,200,1201,12.0,0.031120495923242838,0.009600878710608982,0.9995251752517619,1.2749164069905842e-37
student,0.7,0.5,0,40,200,801,20.0,0.051494044787589593,0.05560681579323301,0.9980332820527329,1.5944356470071805e-08
laplace,0.5,2.4,0,40,200,801,12.0,7.52657237281351e-05,3.7788470576643575e-05,0.999999997129785,1.652899818752087e-08
uniform,0.95,1.2,0,40,200,1201,12.0,0.0008748186175013086,0.0004761395628321738,0.9999995559880557,3.8473993033244355e-38
