family,rho,n,t,n_chains,rep,rho_true,q_true,rho_hat,q_hat,rho_abs_err,q_rel_err,loglik,em_iters,em_converged,restart_rho_std,restart_rho_range,restart_loglik_range,ridge_width,ridge_width_censored,profile_curvature,profile_peak_at_edge,profile_scan_lo,profile_scan_hi,profile_peak_rho
uniform,0.85,20,0.5,1000,1,0.85,0.2775000000000001,0.8624093668419089,0.2646524737898059,0.012409366841908964,0.04629739174844753,-26.840196162603377,257,1,1.621812971787933e-07,4.6530043640302665e-07,2.1817967876813782e-08,0.461125,0,20.603689277780994,0,0.39999999999999997,0.995,0.8611249999999999
laplace,0.95,40,1.2,4000,1,0.95,0.09750000000000003,0.9257717698307186,0.16533826894017917,0.02422823016928133,0.6957771173351704,-56.15093247173822,300,0,0.004659625715779775,0.014316064805078188,0.011704356110236347,0.4455,0,51.62193624035068,0,0.49999999999999994,0.995,0.9455
laplace,0.5,40,1.8,1000,1,0.5,0.75,0.5371217653846851,0.6335490448979929,0.037121765384685146,0.15526794013600945,-56.7186717327876,300,0,0.1388399258812998,0.41389882288314206,0.002181852119157668,0.8999999999999999,1,0.06994305579857271,0,0.04999999999999999,0.95,0.365
mixture,0.95,80,0.08,250,1,0.95,0.09750000000000003,0.9473460785808915,0.0975040362874743,0.0026539214191084737,4.139782024887735e-05,-66.0094909186522,43,1,1.4112028095113018e-06,3.7166295004942285e-06,1.0825104368450411e-08,0.06187500000000001,0,699.5332973688346,0,0.49999999999999994,0.995,0.9455
uniform,0.85,40,0.08,1000,0,0.85,0.2775000000000001,0.8495950227786597,0.2757405180947826,0.0004049772213402525,0.006340475334116985,-41.41195764777579,26,1,1.4391765355735966e-06,3.697439943217695e-06,1.5388678775707376e-08,0.16362500000000013,0,114.17830773535586,0,0.39999999999999997,0.995,0.84625
mixture,0.7,20,2.4,1000,1,0.7,0.51,0.6345756033452998,0.48261051642028396,0.06542439665470012,0.05370486976414911,-28.37476314869829,300,0,0.20654650311003808,0.5808318499714795,0.0005565251464183518,0.7450000000000001,1,0.03182463697000526,0,0.24999999999999994,0.995,0.6597500000000001
uniform,0.85,20,0.5,250,2,0.85,0.2775000000000001,0.8472121879461995,0.3001751544373277,0.0027878120538005202,0.08171226824262194,-27.070313666282715,96,1,0.0011235449696072276,0.003014956527735757,0.00013679996991555754,0.461125,0,17.661778753471133,0,0.39999999999999997,0.995,0.84625
uniform,0.85,20,0.5,4000,1,0.85,0.2775000000000001,0.8480958416279473,0.2842949475376942,0.001904158372052711,0.02448629743313191,-26.946243828218503,149,1,6.842638415491008e-06,1.88034703502149e-05,1.1084726025956115e-08,0.49087499999999995,0,17.76836542681079,0,0.39999999999999997,0.995,0.84625
laplace,0.5,40,0.8,250,1,0.5,0.75,0.5765079260312186,0.6176985963642385,0.07650792603121859,0.17640187151434863,-56.1788228691378,182,1,0.003910814805847858,0.010851768038053322,0.00021366639283115774,0.8999999999999999,1,2.759703410416477,0,0.04999999999999999,0.95,0.5674999999999999
laplace,0.95,40,0.8,4000,1,0.95,0.09750000000000003,0.9471986882620937,0.10109722561572487,0.002801311737906209,0.036894621699741954,-54.699659691601724,300,0,0.0002600178694296856,0.0008186968143762963,0.0002481684840631715,0.24750000000000005,0,93.96471348754447,0,0.49999999999999994,0.995,0.9455
