stage,seed,n_chains,method,region,checkpoint,at_cap,n_params,sq_err,sq_ref,risk,val_bundle,test_bundle
confirm,2,2048,window,centre,32000,False,4801,631.5971738762911,44488.78482785312,0.1191502114109845,8556872c518b,e385cb673fff
confirm,3,32,em_bp,all,160,False,25,31664.735926691214,1423315.6021181508,0.14915483301793872,487482e7e59b,840397348da9
confirm,3,32,em_bp,bulk,160,False,25,24218.70333052009,1082584.531333308,0.1495700142357981,487482e7e59b,840397348da9
confirm,3,32,em_bp,centre,160,False,25,1006.9163624255953,44888.61010785876,0.14977130704283537,487482e7e59b,840397348da9
confirm,3,32,window,all,2000,False,4801,48641.32785095435,1423315.6021181508,0.18486389792463773,487482e7e59b,840397348da9
confirm,3,32,window,bulk,2000,False,4801,29835.36086538928,1082584.531333308,0.16601018704396114,487482e7e59b,840397348da9
confirm,3,32,window,centre,2000,False,4801,1279.485403589724,44888.61010785876,0.16882998763318716,487482e7e59b,840397348da9
confirm,3,128,em_bp,all,40,False,25,9972.890134922223,1423315.6021181508,0.0837066405247338,487482e7e59b,840397348da9
confirm,3,128,em_bp,bulk,40,False,25,7866.590369570174,1082584.531333308,0.085243713229766,487482e7e59b,840397348da9
confirm,3,128,em_bp,centre,40,False,25,317.6632799668489,44888.61010785876,0.08412313104380953,487482e7e59b,840397348da9
confirm,3,128,window,all,8000,False,4801,36090.65080202176,1423315.6021181508,0.15923801373188756,487482e7e59b,840397348da9
confirm,3,128,window,bulk,8000,False,4801,20453.529647698975,1082584.531333308,0.13745268369808455,487482e7e59b,840397348da9
confirm,3,128,window,centre,8000,False,4801,855.8247056786968,44888.61010785876,0.13807794995940442,487482e7e59b,840397348da9
confirm,3,512,em_bp,all,1200,True,25,2424.2177623872726,1423315.6021181508,0.04127007037834744,487482e7e59b,840397348da9
confirm,3,512,em_bp,bulk,1200,True,25,1936.8860337294507,1082584.531333308,0.04229812586070284,487482e7e59b,840397348da9
confirm,3,512,em_bp,centre,1200,True,25,78.9700019671202,44888.61010785876,0.04194333847962661,487482e7e59b,840397348da9
confirm,3,512,window,all,8000,False,4801,31537.174223047474,1423315.6021181508,0.14885409396550167,487482e7e59b,840397348da9
confirm,3,512,window,bulk,8000,False,4801,15182.579105344257,1082584.531333308,0.11842458394995915,487482e7e59b,840397348da9
confirm,3,512,window,centre,8000,False,4801,643.9928572521148,44888.61010785876,0.11977672825349138,487482e7e59b,840397348da9
confirm,3,2048,em_bp,all,1200,True,25,712.6854840516074,1423315.6021181508,0.02237681913312191,487482e7e59b,840397348da9
confirm,3,2048,em_bp,bulk,1200,True,25,573.2528504077776,1082584.531333308,0.023011355549340657,487482e7e59b,840397348da9
confirm,3,2048,em_bp,centre,1200,True,25,24.597021656050476,44888.61010785876,0.0234084782889146,487482e7e59b,840397348da9
confirm,3,2048,window,all,64000,True,4801,20833.31469596034,1423315.6021181508,0.1209841790926633,487482e7e59b,840397348da9
confirm,3,2048,window,bulk,64000,True,4801,14030.98960697846,1082584.531333308,0.11384481162184283,487482e7e59b,840397348da9
confirm,3,2048,window,centre,64000,True,4801,600.280091267728,44888.61010785876,0.11564021506853578,487482e7e59b,840397348da9
confirm,4,32,em_bp,all,80,False,25,4731.747183694593,1422798.9379254542,0.05766854577836974,d56925e89643,cda0bb196d30
confirm,4,32,em_bp,bulk,80,False,25,3706.9548081922594,1080611.4327314429,0.05856981695668791,d56925e89643,cda0bb196d30
confirm,4,32,em_bp,centre,80,False,25,158.70749426089617,43886.919145101296,0.06013553377177805,d56925e89643,cda0bb196d30
confirm,4,32,window,all,4000,False,4801,47776.15740460894,1422798.9379254542,0.18324572105375955,d56925e89643,cda0bb196d30
confirm,4,32,window,bulk,4000,False,4801,30153.579182085785,1080611.4327314429,0.1670454519297541,d56925e89643,cda0bb196d30
confirm,4,32,window,centre,4000,False,4801,1259.2182226330863,43886.919145101296,0.16938812186659893,d56925e89643,cda0bb196d30
confirm,4,128,em_bp,all,60,False,25,5403.733567327242,1422798.9379254542,0.061627591868024204,d56925e89643,cda0bb196d30
confirm,4,128,em_bp,bulk,60,False,25,4225.92595584682,1080611.4327314429,0.06253543319920152,d56925e89643,cda0bb196d30
confirm,4,128,em_bp,centre,60,False,25,180.55867913990193,43886.919145101296,0.06414187295582775,d56925e89643,cda0bb196d30
confirm,4,128,window,all,4000,False,4801,37691.557477747694,1422798.9379254542,0.16276097232175712,d56925e89643,cda0bb196d30
