t,arm,n_obs,seed,psi,p_hat,p_true
0.4665,joint,4096,123393400,-2.356194490192345,5.676651819126057e-70,0.0
0.4665,joint,4096,123393400,-2.3071071049800045,8.614993700368398e-68,0.0
0.4665,joint,4096,123393400,-2.2580197197676637,3.6536227674531927e-63,0.0
0.4665,joint,4096,123393400,-2.2089323345553233,1.7692657109552652e-56,0.0
0.4665,joint,4096,123393400,-2.1598449493429825,6.078523912749294e-49,0.0
0.4665,joint,4096,123393400,-2.110757564130642,1.4466604822414997e-42,0.0
0.4665,joint,4096,123393400,-2.061670178918302,9.222990618219687e-40,0.0
0.4665,joint,4096,123393400,-2.0125827937059615,1.5354564013896628e-41,0.0
0.4665,joint,4096,123393400,-1.9634954084936207,4.809700065545303e-46,0.0
0.4665,joint,4096,123393400,-1.9144080232812801,8.769325644560042e-50,0.0
0.4665,joint,4096,123393400,-1.8653206380689396,1.5846174410691049e-50,0.0
0.4665,joint,4096,123393400,-1.8162332528565992,1.9025844373342792e-48,0.0
0.4665,joint,4096,123393400,-1.7671458676442586,8.554304662792452e-45,0.0
0.4665,joint,4096,123393400,-1.718058482431918,2.678945610832617e-40,0.0
0.4665,joint,4096,123393400,-1.6689710972195777,6.508190472513537e-35,0.0
0.4665,joint,4096,123393400,-1.6198837120072371,8.706430885459169e-29,0.0
0.4665,joint,4096,123393400,-1.5707963267948966,8.46600194734464e-23,0.0
0.4665,joint,4096,123393400,-1.521708941582556,2.0012539655773995e-17,0.0
0.4665,joint,4096,123393400,-1.4726215563702154,7.704863858488314e-12,0.0
0.4665,joint,4096,123393400,-1.423534171157875,3.9380028001335265e-06,0.0
0.4665,joint,4096,123393400,-1.3744467859455345,0.0005766110162800156,0.0
0.4665,joint,4096,123393400,-1.325359400733194,1.496381794270595e-09,0.0
0.4665,joint,4096,123393400,-1.2762720155208536,4.617846736487828e-22,0.0
0.4665,joint,4096,123393400,-1.227184630308513,3.6057596214841084e-35,0.0
0.4665,joint,4096,123393400,-1.1780972450961724,5.365420450812241e-43,0.0
0.4665,joint,4096,123393400,-1.129009859883832,6.375680709077962e-45,0.0
0.4665,joint,4096,123393400,-1.0799224746714913,3.2950552085859977e-43,0.0
0.4665,joint,4096,123393400,-1.030835089459151,1.4728496103416982e-39,0.0
0.4665,joint,4096,123393400,-0.9817477042468106,1.2945813708163973e-34,0.0
0.4665,joint,4096,123393400,-0.9326603190344698,6.361681209173061e-29,0.0
0.4665,joint,4096,123393400,-0.8835729338221294,1.0623039971412738e-23,0.0
0.4665,joint,4096,123393400,-0.8344855486097886,5.709125172643074e-20,0.0
0.4665,joint,4096,123393400,-0.7853981633974483,3.2733999034177637e-17,0.0
0.4665,joint,4096,123393400,-0.7363107781851079,3.8282658284864164e-14,0.0
0.4665,joint,4096,123393400,-0.6872233929727671,2.353452932456215e-10,0.0
0.4665,joint,4096,123393400,-0.6381360077604268,2.5057958955164447e-06,0.0
0.4665,joint,4096,123393400,-0.589048622548086,0.0059885394445908,0.0
0.4665,joint,4096,123393400,-0.5399612373357456,0.341646122104634,0.5
0.4665,joint,4096,123393400,-0.4908738521234053,0.14847861950528984,0.0
0.4665,joint,4096,123393400,-0.4417864669110645,0.001213377675700035,0.0
0.4665,joint,4096,123393400,-0.39269908169872414,1.4599522912613978e-06,0.0
0.4665,joint,4096,123393400,-0.3436116964863838,4.886755721413129e-09,0.0
0.4665,joint,4096,123393400,-0.294524311274043,1.3602343275053972e-09,0.0
0.4665,joint,4096,123393400,-0.24543692606170264,1.7295619106633415e-07,0.0
0.4665,joint,4096,123393400,-0.1963495408493623,0.0001696080151990141,0.0
0.4665,joint,4096,123393400,-0.1472621556370215,3.851695094883313e-05,0.0
0.4665,joint,4096,123393400,-0.09817477042468115,1.9077470040772977e-12,0.0
0.4665,joint,4096,123393400,-0.04908738521234035,6.106329663145e-24,0.0
0.4665,joint,4096,123393400,0.0,1.738581202631974e-32,0.0
0.4665,joint,4096,123393400,0.04908738521234035,5.564363030225312e-32,0.0
0.4665,joint,4096,123393400,0.09817477042468115,2.3665177640996726e-23,0.0
0.4665,joint,4096,123393400,0.1472621556370215,1.3862599444936644e-13,0.0
0.4665,joint,4096,123393400,0.1963495408493623,1.2357298881350366e-08,0.0
0.4665,joint,4096,123393400,0.24543692606170264,8.615331102559741e-09,0.0
0.4665,joint,4096,123393400,0.294524311274043,4.4341508915761514e-10,0.0
