seed,n_obs,t,arm,psi_hat_deg,psi_true_deg,psi_err_deg,is_flat,profile_range_nats
325160077,2048,0.4665,joint,29.877079345122734,29.999999999999996,0.12292065487726403,False,13440.406024538155
325160077,2048,0.4665,marginal,,29.999999999999996,,True,0.0
325160077,2048,0.9821,joint,30.360630807764327,29.999999999999996,0.360630807764328,False,2504.9890745100965
325160077,2048,0.9821,marginal,,29.999999999999996,,True,0.0
325160077,2048,2.0676,joint,31.47641788772993,29.999999999999996,1.476417887729931,False,48.52355980640277
325160077,2048,2.0676,marginal,,29.999999999999996,,True,0.0
325160077,4096,0.05,joint,29.945125765098457,29.999999999999996,0.05487423490153987,False,367675.89120858116
325160077,4096,0.05,marginal,,29.999999999999996,,True,0.0
325160077,4096,0.1053,joint,29.951883409761237,29.999999999999996,0.048116590238759416,False,182016.24139491943
325160077,4096,0.1053,marginal,,29.999999999999996,,True,0.0
325160077,4096,0.2216,joint,29.909948977000195,29.999999999999996,0.09005102299980473,False,78263.60383330577
325160077,4096,0.2216,marginal,,29.999999999999996,,True,0.0
325160077,4096,0.4665,joint,29.841687829263673,29.999999999999996,0.15831217073632395,False,26309.207360921762
325160077,4096,0.4665,marginal,,29.999999999999996,,True,0.0
325160077,4096,0.9821,joint,30.0690299779629,29.999999999999996,0.06902997796289952,False,4808.786652219933
325160077,4096,0.9821,marginal,,29.999999999999996,,True,0.0
325160077,4096,2.0676,joint,30.24040640540073,29.999999999999996,0.2404064054007324,False,141.3587533351092
325160077,4096,2.0676,marginal,,29.999999999999996,,True,0.0
1719885688,128,0.05,joint,30.508446332032566,29.999999999999996,0.5084463320325687,False,11954.935880534367
1719885688,128,0.05,marginal,,29.999999999999996,,True,0.0
1719885688,128,0.1053,joint,30.51210099765164,29.999999999999996,0.5121009976516436,False,5680.49804415296
1719885688,128,0.1053,marginal,,29.999999999999996,,True,0.0
1719885688,128,0.2216,joint,30.32425678271709,29.999999999999996,0.3242567827170927,False,2435.178749075744
1719885688,128,0.2216,marginal,,29.999999999999996,,True,0.0
1719885688,128,0.4665,joint,30.74817867968609,29.999999999999996,0.7481786796860947,False,944.3391011066651
1719885688,128,0.4665,marginal,,29.999999999999996,,True,0.0
