e,budget,n_components,arm,density
-1.3699999999999999,0,0,true,0.03392708554601499
-1.3599999999999999,0,0,true,0.03485023642421831
-1.3499999999999999,0,0,true,0.03579850609851664
-1.3399999999999999,0,0,true,0.03677257804756134
-1.33,0,0,true,0.03777315434735474
-1.32,0,0,true,0.038800956177281354
-1.31,0,0,true,0.03985672433990778
-1.3,0,0,true,0.040941219794926785
-1.29,0,0,true,0.04205522420762948
-1.28,0,0,true,0.0431995405123016
-1.27,0,0,true,0.04437499349094969
-1.26,0,0,true,0.04558243036777418
-1.25,0,0,true,0.046822721419818136
-1.24,0,0,true,0.048096760604231736
-1.23,0,0,true,0.04940546620260423
-1.22,0,0,true,0.05074978148282835
-1.21,0,0,true,0.05213067537897391
-1.2,0,0,true,0.0535491431896605
-1.19,0,0,true,0.055006207295433
-1.18,0,0,true,0.05650291789565658
-1.17,0,0,true,0.058040353765462765
-1.16,0,0,true,0.05961962303329155
-1.15,0,0,true,0.061241863979590534
-1.14,0,0,true,0.06290824585724666
-1.13,0,0,true,0.06461996973434138
-1.1199999999999999,0,0,true,0.06637826935983739
-1.1099999999999999,0,0,true,0.06818441205282061
-1.0999999999999999,0,0,true,0.07003969961593794
-1.0899999999999999,0,0,true,0.07194546927368987
-1.08,0,0,true,0.07390309463625386
-1.07,0,0,true,0.07591398668953295
-1.06,0,0,true,0.07797959481214371
-1.05,0,0,true,0.08010140782007615
-1.04,0,0,true,0.08228095503977864
-1.03,0,0,true,0.0845198074104416
-1.02,0,0,true,0.08681957861627367
-1.01,0,0,true,0.08918192624958722
-1.0,0,0,true,0.09160855300553154
-0.9899999999999998,0,0,true,0.09410120790933385
-0.98,0,0,true,0.09666168757693377
-0.9699999999999998,0,0,true,0.09929183750991988
-0.96,0,0,true,0.1019935534257
-0.9500000000000002,0,0,true,0.104768782623867
-0.94,0,0,true,0.10761952538974186
-0.9300000000000002,0,0,true,0.11054783643610681
-0.9199999999999999,0,0,true,0.1135558263841694
-0.9100000000000001,0,0,true,0.11664566328482123
-0.8999999999999999,0,0,true,0.11981957418129208
-0.8900000000000001,0,0,true,0.1230798467143213
-0.8799999999999999,0,0,true,0.12642883077100828
-0.8700000000000001,0,0,true,0.12986894017852516
-0.8599999999999999,0,0,true,0.13340265444391763
-0.8500000000000001,0,0,true,0.1370325205412435
-0.8399999999999999,0,0,true,0.14076115474734102
-0.8300000000000001,0,0,true,0.14459124452754563
-0.8199999999999998,0,0,true,0.14852555047271981
-0.81,0,0,true,0.1525669082889861
-0.7999999999999998,0,0,true,0.15671823084160338
-0.79,0,0,true,0.16098251025445404
-0.7799999999999998,0,0,true,0.16536282006666056
-0.77,0,0,true,0.16986231744788033
-0.7599999999999998,0,0,true,0.1744842454738816
-0.75,0,0,true,0.17923193546403388
-0.7399999999999998,0,0,true,0.1841088093824051
-0.73,0,0,true,0.1891183823041881
-0.7199999999999998,0,0,true,0.19426426494924237
-0.71,0,0,true,0.1995501662845688
-0.6999999999999997,0,0,true,0.2049798961976017
-0.69,0,0,true,0.21055736824223673
-0.6800000000000002,0,0,true,0.21628660245958115
-0.6699999999999999,0,0,true,0.22217172827545406
-0.6600000000000001,0,0,true,0.22821698747672728
-0.6499999999999999,0,0,true,0.23442673726865454
-0.6400000000000001,0,0,true,0.24080545341538573
-0.6299999999999999,0,0,true,0.24735773346593903
-0.6200000000000001,0,0,true,0.25408830006794664
-0.6099999999999999,0,0,true,0.2610020043715712
-0.6000000000000001,0,0,true,0.2681038295260381
-0.5899999999999999,0,0,true,0.2753988942713126
-0.5800000000000001,0,0,true,0.2828924566275004
-0.5699999999999998,0,0,true,0.29058991768464254
-0.56,0,0,true,0.29849682549562356
-0.5499999999999998,0,0,true,0.30661887907501106
-0.54,0,0,true,0.3149619325066979
-0.5299999999999998,0,0,true,0.3235319991633175
-0.52,0,0,true,0.33233525604046377
-0.5099999999999998,0,0,true,0.3413780482088505
-0.5,0,0,true,0.3506668933876062
-0.48999999999999977,0,0,true,0.36020848664201516
-0.48,0,0,true,0.3700097052090759
-0.46999999999999975,0,0,true,0.38007761345437
-0.45999999999999996,0,0,true,0.39041946796379856
-0.44999999999999973,0,0,true,0.4010427227738716
-0.43999999999999995,0,0,true,0.41195503474430645
-0.43000000000000016,0,0,true,0.42316426907681903
-0.41999999999999993,0,0,true,0.43467850498407723
-0.41000000000000014,0,0,true,0.4465060415129049
-0.3999999999999999,0,0,true,0.45865540352593986
-0.3900000000000001,0,0,true,0.47113534784604355
-0.3799999999999999,0,0,true,0.48395486956790884
-0.3700000000000001,0,0,true,0.49712320854139486
-0.3599999999999999,0,0,true,0.510649856031284
-0.3500000000000001,0,0,true,0.5245445615582386
-0.33999999999999986,0,0,true,0.5388173399259094
-0.33000000000000007,0,0,true,0.553478478439241
-0.31999999999999984,0,0,true,0.5685385443191956
-0.31000000000000005,0,0,true,0.5840083923192206
-0.2999999999999998,0,0,true,0.5998991725489695
-0.29000000000000004,0,0,true,0.6162223385108943
-0.2799999999999998,0,0,true,0.632989655355523
-0.27,0,0,true,0.6502132083613514
-0.2599999999999998,0,0,true,0.6679054116454824
-0.25,0,0,true,0.6860790171112691
-0.23999999999999977,0,0,true,0.7047471236394337
-0.22999999999999998,0,0,true,0.7239231865292631
-0.21999999999999975,0,0,true,0.7436210271967104
-0.20999999999999996,0,0,true,0.7638548431363682
-0.19999999999999973,0,0,true,0.7846392181545179
-0.18999999999999995,0,0,true,0.8059891328806056
-0.18000000000000016,0,0,true,0.827919975564747
-0.16999999999999993,0,0,true,0.8504475531690209
-0.16000000000000014,0,0,true,0.8735881027605567
-0.1499999999999999,0,0,true,0.8973583032146342
-0.14000000000000012,0,0,true,0.9217752872362083
-0.1299999999999999,0,0,true,0.9468566537085547
-0.1200000000000001,0,0,true,0.9726204803779036
-0.10999999999999988,0,0,true,0.9990853368832361
-0.10000000000000009,0,0,true,1.0262702981406038
-0.08999999999999986,0,0,true,1.0541949580916496
-0.08000000000000007,0,0,true,1.0828794438262082
-0.06999999999999984,0,0,true,1.1123444300891954
-0.06000000000000005,0,0,true,1.1426111541822117
-0.04999999999999982,0,0,true,1.1737014312706353
-0.040000000000000036,0,0,true,1.2056376701071962
-0.029999999999999805,0,0,true,1.2384428891834112
-0.020000000000000018,0,0,true,1.272140733320471
-0.009999999999999787,0,0,true,1.3067554907115901
0.0,0,0,true,1.3423121104280484
0.010000000000000231,0,0,true,1.3067554907115884
0.020000000000000018,0,0,true,1.272140733320471
0.03000000000000025,0,0,true,1.2384428891834096
0.040000000000000036,0,0,true,1.2056376701071962
0.050000000000000266,0,0,true,1.1737014312706338
0.06000000000000005,0,0,true,1.1426111541822117
0.07000000000000028,0,0,true,1.112344430089194
0.08000000000000007,0,0,true,1.0828794438262082
0.08999999999999986,0,0,true,1.0541949580916496
0.10000000000000009,0,0,true,1.0262702981406038
0.10999999999999988,0,0,true,0.9990853368832361
0.1200000000000001,0,0,true,0.9726204803779036
0.1299999999999999,0,0,true,0.9468566537085547
0.14000000000000012,0,0,true,0.9217752872362083
0.1499999999999999,0,0,true,0.8973583032146342
0.16000000000000014,0,0,true,0.8735881027605567
0.16999999999999993,0,0,true,0.8504475531690209
0.18000000000000016,0,0,true,0.827919975564747
0.18999999999999995,0,0,true,0.8059891328806056
0.20000000000000018,0,0,true,0.784639218154517
0.20999999999999996,0,0,true,0.7638548431363682
0.2200000000000002,0,0,true,0.7436210271967095
0.22999999999999998,0,0,true,0.7239231865292631
0.2400000000000002,0,0,true,0.7047471236394329
