init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
invariant,gaussian,0.0,0.95,0.4,4,0.13842700397326949,0.7312224098835441,0.004525040119934432,1,1.0
invariant,gaussian,0.0,0.95,0.4,5,0.10596381423231566,0.7312224098835441,0.004525040119934432,1,1.0
invariant,gaussian,0.0,0.95,0.4,6,0.07205289188253125,0.7312224098835441,0.004525040119934432,1,1.0
invariant,gaussian,0.0,0.95,0.4,7,0.058020358278256634,0.7312224098835441,0.004525040119934432,1,1.0
invariant,gaussian,0.0,0.95,0.4,8,0.04257763603338298,0.7312224098835441,0.004525040119934432,1,1.0
invariant,gaussian,0.0,0.95,0.8,1,0.5356903292369879,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,0.8,2,0.44806710763233054,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,0.8,3,0.37423652307243715,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,0.8,4,0.28618418060749834,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,0.8,5,0.2372572654059737,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,0.8,6,0.19368083004163167,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,0.8,7,0.163738061944861,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,0.8,8,0.1349721391773213,0.8182795024831059,0.003203672876454396,1,1.0
invariant,gaussian,0.0,0.95,1.6,1,0.513488113333157,0.8842697535424029,0.005567152748648069,1,1.0
invariant,gaussian,0.0,0.95,1.6,2,0.5041750583181596,0.8842697535424029,0.005567152748648069,1,1.0
invariant,gaussian,0.0,0.95,1.6,3,0.449842683836568,0.8842697535424029,0.005567152748648069,1,1.0
invariant,gaussian,0.0,0.95,1.6,4,0.3916431576935588,0.8842697535424029,0.005567152748648069,1,1.0
invariant,gaussian,0.0,0.95,1.6,5,0.3392769193284183,0.8842697535424029,0.005567152748648069,1,1.0
invariant,gaussian,0.0,0.95,1.6,6,0.30112409491605824,0.8842697535424029,0.005567152748648069,1,1.0
invariant,gaussian,0.0,0.95,1.6,7,0.2550467171644832,0.8842697535424029,0.005567152748648069,1,1.0
invariant,gaussian,0.0,0.95,1.6,8,0.23150504721148635,0.8842697535424029,0.005567152748648069,1,1.0
n01,laplace,3.0,0.95,0.05,1,0.07516988949960152,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.05,2,0.03226233114117716,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.05,3,0.01329958706018917,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.05,4,0.0048353716258971455,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.05,5,0.00207073735260543,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.05,6,0.001014520063876536,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.05,7,0.0003562528595775508,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.05,8,0.00015303908837533802,0.4120476476952837,0.004457731757560726,178,1.063591585729238
n01,laplace,3.0,0.95,0.1,1,0.15574289417192813,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.1,2,0.07393560462859725,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.1,3,0.036598673349895076,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.1,4,0.019695282661187585,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.1,5,0.010134211378604478,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.1,6,0.0048074055274713616,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.1,7,0.0030204090840910223,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.1,8,0.0014954651252094232,0.5179389638017777,0.005681567521074499,178,1.011129709777354
n01,laplace,3.0,0.95,0.2,1,0.24449483295637775,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
n01,laplace,3.0,0.95,0.2,2,0.15298294473038876,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
n01,laplace,3.0,0.95,0.2,3,0.09453437469512095,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
n01,laplace,3.0,0.95,0.2,4,0.05904653904012758,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
n01,laplace,3.0,0.95,0.2,5,0.036967091213755576,0.6349356294231173,0.0034281740201081404,178,1.0129901614382555
