t,trial,alpha,delta,posterior_mean_mse,posterior_mean_rel_error,score_mse,score_rel_error,score_cosine,score_max_abs_error,identity_residual,grid_self_conv_rel_error,legacy_vs_analytic_max_abs_mean
0.12,46,0.8869204367171575,0.21337213893344653,0.0029214783348380942,0.05069455234335496,0.050477353007310564,0.1376176454860759,0.9905004484382689,0.8156068391845346,1.4735912259677978e-15,3.541046384399771e-06,0.00058327320118301
0.12,47,0.8869204367171575,0.21337213893344653,0.0010864874743881277,0.033883640789660524,0.01877234930299433,0.11652266650367242,0.9966697768132701,0.40596204693938853,2.2901668248052528e-15,3.1488581212009544e-06,2.7210236542840605e-05
0.12,48,0.8869204367171575,0.21337213893344653,0.002325047434029343,0.07836179526179969,0.04017220962644753,0.12956539479545318,0.9920521866985902,0.42494264872676135,1.1020758243040457e-15,3.3922202100857855e-06,4.464696553585501e-05
0.12,49,0.8869204367171575,0.21337213893344653,0.0034264294043524464,0.05295766595089938,0.059201906286843076,0.15096281712664583,0.9885991645407655,0.7884220204644952,1.6536672997611104e-15,3.936629951012265e-06,0.0010561587726458654
0.12,50,0.8869204367171575,0.21337213893344653,0.0022802942713218513,0.07006366642893494,0.03939896371007661,0.10962265889493773,0.994050835053049,0.533725379506202,1.4793330510505164e-15,1.9458470098529654e-06,3.224789502767611e-05
0.12,51,0.8869204367171575,0.21337213893344653,0.008143807720296605,0.1193713826926488,0.14070885011161804,0.19000409065525686,0.9834842198252,1.5032961649631478,5.898267884569534e-16,1.971914613477084e-06,3.96219377392093e-05
0.12,52,0.8869204367171575,0.21337213893344653,0.00506417751911039,0.050725933374777814,0.08749894643253904,0.1867213281998915,0.9838534408889824,1.1024182633715673,2.1146106616751214e-15,3.0316510108536445e-06,0.001472920917875431
0.12,53,0.8869204367171575,0.21337213893344653,0.014468911411639477,0.13412127785373176,0.24999410067413902,0.30984237077708454,0.9703327846287709,1.9430645937967959,5.628986151932429e-16,2.6317723030455017e-06,0.00022368932059495944
0.12,54,0.8869204367171575,0.21337213893344653,0.0030594677857473823,0.0385309677852612,0.052861537117722346,0.1505835191589369,0.9888436369577203,0.7899882524818338,1.6376852027518715e-15,2.301320928337074e-06,0.0019731678718213352
0.12,55,0.8869204367171575,0.21337213893344653,0.0190758415758187,0.08571066427720261,0.3295927194296633,0.42250844494366085,0.9314254768982301,2.5627005685804285,8.727088602038494e-16,2.2578691915245457e-06,0.004001592887321159
0.12,56,0.8869204367171575,0.21337213893344653,0.0021315368639439635,0.06987749470850772,0.036828730662265205,0.1064889643748621,0.9944866131087676,0.6879750574165513,1.2200345657687789e-15,2.6979949511981276e-06,2.8274505209591183e-05
0.12,57,0.8869204367171575,0.21337213893344653,0.0015386268589165242,0.05033994484544104,0.02658442137937777,0.094001854294895,0.9970816641257357,0.4040196075933058,1.51601480154967e-15,2.9431307037309584e-06,2.3605414279037618e-05
0.12,58,0.8869204367171575,0.21337213893344653,0.005321612285561052,0.06291288199744154,0.09194690876295426,0.18515897054113636,0.9828150799883068,1.3746632791612905,1.0797395517970539e-15,2.2810622829951255e-06,0.00039303110984478806
0.12,59,0.8869204367171575,0.21337213893344653,0.002746278175524944,0.07733591170748394,0.047450241635944884,0.11630427868419177,0.9933875301341661,0.45556899590524425,1.395153523621517e-15,2.671162673016545e-06,5.8717064474245184e-05
0.18,0,0.835270211411272,0.302323673928969,0.003179241844838779,0.06997039250642499,0.024267958255238944,0.1041781714187617,0.9946568558500599,0.6520121067260876,1.384394425480327e-15,9.083539371004432e-07,0.0003097140753560712
0.18,1,0.835270211411272,0.302323673928969,0.001317433503560316,0.07333351106773876,0.010056303618536508,0.07857678586693789,0.9975639009639821,0.22690344915209026,2.0410044154131425e-15,1.9744348173768794e-06,1.4401474615469145e-05
0.18,2,0.835270211411272,0.302323673928969,0.0018680810373596882,0.03589920859381168,0.014259535714668892,0.10241972125717233,0.994882522073225,0.3523706609165138,1.7574868332436346e-15,1.0650838769455125e-06,0.00023008255511025588
0.18,3,0.835270211411272,0.302323673928969,0.007197293322363872,0.09318279226041547,0.05493876289448927,0.19254049063141965,0.9829002486367568,0.9084221226110963,9.83092930243643e-16,2.200097214030263e-06,0.00030995994543592253
0.18,4,0.835270211411272,0.302323673928969,0.005126998578531175,0.08525434976533083,0.03913567874065693,0.13775614475485587,0.9905188048470438,0.8344164124556512,1.251296316198134e-15,1.722251445564593e-06,0.0008129635381981526
0.18,5,0.835270211411272,0.302323673928969,0.001935818980352337,0.0722947913542016,0.014776596590522051,0.07877969765770093,0.9977588121238689,0.3216452826772618,1.2576564179592609e-15,1.6059455429374895e-06,5.817180430267577e-05
0.18,6,0.835270211411272,0.302323673928969,0.0017635594357684483,0.07522128265509956,0.013461695855991652,0.07941490099059656,0.997696317957212,0.33623925707305413,1.1713725450440757e-15,1.3374533911754874e-06,6.693597480633695e-05
0.18,7,0.835270211411272,0.302323673928969,0.0012773647183173331,0.0769356974100437,0.009750448431963207,0.07286672606994583,0.9991372188977149,0.19647585539051793,1.6529273466769859e-15,1.7399635063289334e-06,1.000623785549215e-05
0.18,8,0.835270211411272,0.302323673928969,0.0018899086128214546,0.05642176727633525,0.014426151126761275,0.11478609689722132,0.9945585702518598,0.30278466649542835,1.2393527960899926e-15,1.7873842826046068e-06,0.00011510950600301939
0.18,9,0.835270211411272,0.302323673928969,0.0029270449677274856,0.043139305081539,0.02234287561461686,0.09908768259538035,0.9951235859873317,0.5598052493135706,1.4777653993790742e-15,7.792274234944345e-07,0.0010607832658666716
0.18,10,0.835270211411272,0.302323673928969,0.0014015055077736351,0.05060006347609332,0.01069804652085623,0.06548042315461405,0.9982989916251228,0.2158065183696154,1.803282905616032e-15,1.5795021884321475e-06,4.730606343406052e-05
0.18,11,0.835270211411272,0.302323673928969,0.0012577288159576106,0.05062924791053536,0.00960056261577615,0.07072828412137926,0.9987602226102054,0.2294077257495417,2.0613241758712915e-15,1.3494542532343869e-06,5.999376382437305e-05
0.18,12,0.835270211411272,0.302323673928969,0.0020884222567884524,0.05097544954888601,0.015941456051646853,0.09010200245762652,0.9959733995141928,0.31341707789218276,1.5259637199636863e-15,1.4030374422360529e-06,0.00015920339476171996
0.18,13,0.835270211411272,0.302323673928969,0.0011237917248729853,0.09830465809017606,0.008578186875300002,0.0700138636337013,0.9992583629485391,0.19518968282735072,1.2802119828376208e-15,2.200097263580602e-06,4.230435224770318e-06
0.18,14,0.835270211411272,0.302323673928969,0.0012412883530251138,0.03895668888643621,0.009475068398093298,0.061313339494182745,0.9984282508140537,0.2441494901029393,2.1491630763627787e-15,1.3626557795450074e-06,0.00011214476659793249
