t,trial,relative_score_error,score_cosine,posterior_mean_mse
0.18,89.0,0.13592459821288333,0.990978242298676,0.004202661008371099
0.18,90.0,0.21352891911522615,0.9804906983383198,0.012188707934976577
0.18,91.0,0.07499159828621295,0.9980189102846242,0.0013036024775375183
0.18,92.0,0.12179384735010537,0.9926447796669472,0.005787508903413076
0.18,93.0,0.07755488938081861,0.9972885645370256,0.0011884509601992636
0.18,94.0,0.06991717163138891,0.9984795895946402,0.001332483457103463
0.18,95.0,0.10699797227642499,0.9942669134954641,0.003642530732928551
0.18,96.0,0.2321149196342751,0.9782665028643506,0.010337753522717763
0.18,97.0,0.15938156588934482,0.9872835359311762,0.004304206957357517
0.18,98.0,0.07156962340800718,0.998539713336266,0.001310794492259127
0.18,99.0,0.06433407317132105,0.9979342378163693,0.0012969668496241008
0.27,0.0,0.11805369054605858,0.9938109916611044,0.008449912553278292
0.27,1.0,0.06430964067474237,0.9981444758847968,0.002342654612136538
0.27,2.0,0.0420383594682019,0.9993194749826348,0.0011946090848422072
0.27,3.0,0.06542051951896155,0.9978863749962013,0.001915969012409513
0.27,4.0,0.11335502548604713,0.9950140688697718,0.0065045802926264485
0.27,5.0,0.06826046391277871,0.9977465955522125,0.0027882810273621595
0.27,6.0,0.09506059649817537,0.9955571382363911,0.0033363803079425763
0.27,7.0,0.051317194732793614,0.9988355072569886,0.0010107309992878548
0.27,8.0,0.06217226942622237,0.9981170330116967,0.002209812237828137
0.27,9.0,0.045186256122498124,0.9992304232311403,0.0010110490157361378
0.27,10.0,0.15062792324455446,0.9896436807663431,0.013833364991414862
0.27,11.0,0.055139280230413895,0.9985576201790006,0.0012539305025219924
0.27,12.0,0.04682924414457125,0.9991661984568849,0.001156159632470856
0.27,13.0,0.1294407497125052,0.9929810306925657,0.006853120339276981
0.27,14.0,0.06758689467541619,0.9977435644835742,0.002132526252110821
0.27,15.0,0.16692018761783203,0.9873557285344862,0.01370160848146001
0.27,16.0,0.04651012875072297,0.9993725887507428,0.0009141800885576236
0.27,17.0,0.08039418151562917,0.996763276928672,0.003378544309511495
0.27,18.0,0.04826476953901369,0.9990195781186167,0.0014540276094196503
0.27,19.0,0.1054126157742909,0.9947411110324762,0.004386145334926358
0.27,20.0,0.05398757506104001,0.9992141703117848,0.0010780335584456913
