arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,512,19,-0.0005574737589018053,-6.219802356294268e-05,0.7994425262410982,0.35993780197643693
noised,512,19,0.00361802790962662,-0.019083189642884912,0.8036180279096267,0.34091681035711496
clean,512,20,0.003904003292649838,0.0023589231086165174,0.8039040032926499,0.3623589231086164
noised,512,20,0.0065499791137626495,-0.010787134985626168,0.8065499791137627,0.3492128650143737
clean,512,21,0.009403791604137623,-0.006434557680990216,0.8094037916041377,0.35356544231900966
noised,512,21,0.007942648163423494,-0.014207124305205265,0.8079426481634235,0.3457928756947946
clean,512,22,0.002118370655112778,0.0007159765448191413,0.8021183706551128,0.360715976544819
noised,512,22,0.0037712311547892785,0.005319598982594931,0.8037712311547893,0.3653195989825948
clean,512,23,0.0031562097791246746,-0.0017262585649355233,0.8031562097791247,0.35827374143506435
noised,512,23,0.010490026223930027,-0.003929412930927079,0.8104900262239301,0.3560705870690728
clean,512,24,0.004790837282512506,0.006090102423611687,0.8047908372825126,0.36609010242361156
noised,512,24,0.0011478932338589987,0.005658801029367833,0.801147893233859,0.3656588010293677
clean,512,25,-0.001025718761347827,-0.0025512044849404503,0.7989742812386522,0.3574487955150594
noised,512,25,0.003937689540470246,-0.012905212386911558,0.8039376895404703,0.3470947876130883
clean,512,26,-0.01101452143108439,0.004026249182414621,0.7889854785689157,0.3640262491824145
noised,512,26,-0.01471304448239763,0.01364148385952918,0.7852869555176024,0.37364148385952906
clean,512,27,0.0042141096928351995,0.005178824546110183,0.8042141096928352,0.36517882454611006
noised,512,27,0.002384811302012957,0.0007391843174602286,0.802384811302013,0.3607391843174601
clean,512,28,0.003921752241807797,-0.001799508176036968,0.8039217522418078,0.3582004918239629
noised,512,28,0.006816229508492255,-0.011299187220345175,0.8068162295084923,0.3487008127796547
clean,512,29,0.007638552687985745,-0.003102650644495164,0.8076385526879858,0.3568973493555047
noised,512,29,0.01171012856094733,-0.020849442702052745,0.8117101285609474,0.33915055729794713
clean,512,30,0.0008769559701389262,0.008566979348236914,0.800876955970139,0.3685669793482368
noised,512,30,0.004127217992665688,0.012058251564250555,0.8041272179926657,0.37205825156425043
clean,512,31,0.0005097812055535611,5.679962667304306e-05,0.8005097812055536,0.3600567996266729
noised,512,31,-0.0010563365124940383,0.01642266389844882,0.798943663487506,0.3764226638984487
clean,1024,0,0.0005017292661531059,0.006831474385423697,0.8005017292661532,0.3668314743854236
noised,1024,0,0.0035359664120787615,-0.0011313586005113896,0.8035359664120788,0.3588686413994885
clean,1024,1,0.000659727967299184,-0.0009421882392443015,0.8006597279672992,0.3590578117607556
noised,1024,1,-0.003592309904780433,0.009686874954554447,0.7964076900952196,0.3696868749545543
clean,1024,2,-0.0036491528931477113,-0.0007542370180201874,0.7963508471068523,0.3592457629819797
noised,1024,2,-0.0024347790823294746,-0.009553158163415454,0.7975652209176706,0.3504468418365844
clean,1024,3,-0.0018850107499538415,-0.0013229119625460806,0.7981149892500462,0.3586770880374538
noised,1024,3,0.0011383425542526027,-0.014187800921122262,0.8011383425542526,0.3458121990788776
clean,1024,4,-0.0005401003836805751,-0.0005760027842547921,0.7994598996163195,0.3594239972157451
noised,1024,4,-0.00888889532980408,0.012327140633102862,0.791111104670196,0.37232714063310274
clean,1024,5,0.0033880057402627672,0.000994834359573149,0.8033880057402628,0.360994834359573
noised,1024,5,-0.0020434254909633687,0.0037720108213883385,0.7979565745090367,0.3637720108213882
clean,1024,6,-0.00024389712024741605,0.00523688542392392,0.7997561028797526,0.3652368854239238
noised,1024,6,0.00273894448736689,0.010534532841428912,0.8027389444873669,0.3705345328414288
clean,1024,7,0.0003860750427442383,-0.00020973419510039726,0.8003860750427443,0.3597902658048995
noised,1024,7,0.007141062648887253,-0.004854874711926527,0.8071410626488873,0.35514512528807335
