regime,n_chains,rep,n_components,rho_raw,param_raw,rho_grid,param_grid,rho_err_raw,rho_err_grid,param_err_raw,param_err_grid,rho_grid_minus_raw,param_grid_minus_raw,exkurt_raw,exkurt_grid,raw_monotone_violation
gaussian,128,4,0,0.8531654985330696,0.27893317319072636,0.8529364384629307,0.27939323235354646,0.0031654985330695773,0.0029364384629306794,0.001433173190726278,0.0018932323535463813,-0.00022906007013889784,0.0004600591628201034,nan,nan,nan
mixture,128,4,8,0.8516256207433612,0.26110799762095344,0.8514167848835672,0.26156574756531487,0.0016256207433612557,0.0014167848835672237,-0.016392002379046644,-0.015934252434685214,-0.00020883585979403207,0.0004577499443614297,2.1889333924414798,2.1893478714196286,0.0
gaussian,128,5,0,0.8524455487330774,0.2812092740228093,0.8522231560869578,0.28167564210955154,0.0024455487330774517,0.0022231560869577782,0.003709274022809239,0.004175642109551458,-0.00022239264611967346,0.0004663680867422193,nan,nan,nan
mixture,128,5,8,0.8521885006107243,0.2903868542291535,0.8508751461861315,0.29082882927162723,0.0021885006107242866,0.0008751461861314924,0.012886854229153422,0.013328829271627152,-0.0013133544245927942,0.0004419750424737301,2.8814965745275725,2.898521212928453,0.0
gaussian,128,6,0,0.8539786034514211,0.28768249503124776,0.8537677745020921,0.2881387453574793,0.003978603451421092,0.0037677745020920916,0.010182495031247685,0.010638745357479218,-0.00021082894932900054,0.00045625032623153317,nan,nan,nan
mixture,128,6,8,0.8400807498654729,0.28233084855302787,0.8393095399751894,0.28278709792862705,-0.009919250134527102,-0.010690460024810555,0.004830848553027789,0.0052870979286269715,-0.000771209890283453,0.00045624937559918255,2.730693984322616,2.9260257492723616,0.0
gaussian,128,7,0,0.8570236398257537,0.2725092728982402,0.8568037935383043,0.27296463909892915,0.007023639825753714,0.0068037935383042925,-0.004990727101759906,-0.004535360901070928,-0.00021984628744942114,0.00045536620068897804,nan,nan,nan
mixture,128,7,8,0.8461115326623685,0.2940121471318841,0.8458460130819044,0.29447740554436463,-0.003888467337631485,-0.0041539869180955424,0.016512147131884036,0.016977405544364554,-0.00026551958046405755,0.00046525841248051814,2.923986898295124,2.9225841607946066,0.0
gaussian,128,8,0,0.8300865610680318,0.280169806910355,0.8298447012343346,0.28061752286516317,-0.019913438931968175,-0.020155298765665353,0.0026698069103548994,0.0031175228651630915,-0.00024185983369717778,0.00044771595480819215,nan,nan,nan
mixture,128,8,8,0.8525433134099425,0.3048371762257896,0.8525895538766948,0.30529732576045965,0.002543313409942516,0.0025895538766947945,0.027337176225789517,0.027797325760459568,4.6240466752278664e-05,0.00046014953467005126,2.797143133077893,3.3075341293465694,0.0
gaussian,128,9,0,0.8580749616948025,0.2855939226444722,0.8578615591170851,0.28605381259710194,0.008074961694802485,0.007861559117085082,0.008093922644472118,0.008553812597101862,-0.00021340257771740312,0.00045988995262974397,nan,nan,nan
mixture,128,9,8,0.8426088490592037,0.2804728819699619,0.8423885510131737,0.2809269391451245,-0.007391150940796232,-0.007611448986826308,0.002972881969961816,0.00342693914512443,-0.0002202980460300763,0.00045405717516261435,3.229322117778942,3.3222142646772044,0.0
gaussian,128,10,0,0.8521717164998914,0.271842064560849,0.8519408083754421,0.2723032129239831,0.0021717164998914518,0.0019408083754420824,-0.005657935439151107,-0.0051967870760170065,-0.00023090812444936937,0.0004611483631341007,nan,nan,nan
mixture,128,10,8,0.848919663527717,0.2703448415214469,0.8482670828041984,0.2708129696138421,-0.0010803364722830056,-0.0017329171958015976,-0.007155158478553192,-0.006687030386157977,-0.0006525807235185921,0.0004681280923952147,2.6096074415419253,2.562253266362201,0.0
