family,rho,n_chains,t_eval,rep,t_train,rho_hat,q_hat,rho_abs_err,n_params_learned,rel_score_err_vs_true_params
gaussian,0.85,500,0.5,4,0.15,0.8574305264918599,0.2855484908679987,0.0074305264918599345,2,0.012077377593107381
mixture,0.85,4000,0.5,2,0.15,0.8533205809781994,0.2738723721235501,0.0033205809781994278,2,0.002785822053101492
gaussian,0.85,60,1.2,4,0.15,0.8351858462454823,0.2704075928736124,0.014814153754517667,2,0.016213507693444804
student,0.85,4000,1.2,4,0.15,0.8509459266636136,0.27625018084833797,0.0009459266636135943,2,0.0004978062703231685
gaussian,0.85,2000,1.2,4,0.15,0.8543863528581738,0.27470801056268035,0.004386352858173792,2,0.0031057205167535603
gaussian,0.7,1000,0.15,4,0.15,0.6977404434948582,0.5107298522838937,0.0022595565051417577,2,0.0020186350133493645
student,0.7,125,0.5,1,0.15,0.712632016307117,0.5386148344051213,0.012632016307117078,2,0.021727598340230882
uniform,0.7,4000,1.2,2,0.15,0.7020982766644706,0.5080058946213718,0.0020982766644705997,2,0.0006700014021675502
student,0.7,125,0.15,2,0.15,0.7244311899230399,0.460057067954491,0.024431189923039942,2,0.05567913230340516
mixture,0.85,60,1.2,1,0.15,0.8274298620203578,0.30225046423171775,0.022570137979642135,2,0.012018468883211479
student,0.85,500,1.2,3,0.15,0.8485521381985772,0.2721532942326758,0.0014478618014227562,2,0.0034795150076170718
student,0.85,60,0.15,4,0.15,0.8422794111998092,0.2773470765001088,0.007720588800190775,2,0.006109968073800955
student,0.85,4000,1.2,1,0.15,0.849245269840063,0.2734843301350935,0.0007547301599369893,2,0.0021657219135553106
laplace,0.85,500,1.2,3,0.15,0.8531582304988251,0.2820472159499703,0.003158230498825132,2,0.0046018912664585404
gaussian,0.7,500,0.15,0,0.15,0.6920507638683719,0.5175781363726786,0.007949236131628012,2,0.010009952455066577
gaussian,0.85,250,0.15,3,0.15,0.8571136237450847,0.2740892618225983,0.0071136237450847295,2,0.006987687945612874
mixture,0.7,250,1.2,4,0.15,0.691017455422304,0.514690504077423,0.008982544577695983,2,0.0033340472773052982
gaussian,0.85,125,1.2,1,0.15,0.8461602920314886,0.28186480566143646,0.0038397079685114077,2,0.0021275804253300928
uniform,0.7,500,1.2,3,0.15,0.70505277226941,0.5137409368061658,0.005052772269410033,2,0.0032080727141587085
student,0.7,500,0.5,4,0.15,0.7017580107611764,0.4960140810049728,0.0017580107611764317,2,0.006528154625657909
gaussian,0.7,1000,0.15,1,0.15,0.698011459017779,0.5054257083096294,0.00198854098222101,2,0.004607141315914858
student,0.7,2000,1.2,4,0.15,0.7031597893674196,0.5143687918210559,0.003159789367419674,2,0.002330859723348167
uniform,0.85,60,1.2,1,0.15,0.8531933729331088,0.2945423096092899,0.00319337293310884,2,0.00920495464700744
gaussian,0.7,1000,1.2,1,0.15,0.6962620830399975,0.5129205294952134,0.003737916960002474,2,0.0012927933807868898
gaussian,0.85,1000,0.15,2,0.15,0.8501615177230275,0.2764125691121364,0.00016151772302752665,2,0.0013975441490768458
gaussian,0.7,2000,0.5,1,0.15,0.7012794572076202,0.5084179451558951,0.0012794572076202382,2,0.0008607070808487813
laplace,0.7,250,0.5,1,0.15,0.693591027782117,0.49314155572927804,0.006408972217882947,2,0.012760938659609136
gaussian,0.85,125,0.15,1,0.15,0.8515227449544593,0.28368190971458696,0.0015227449544593652,2,0.007997865656821238
laplace,0.85,1000,1.2,3,0.15,0.8466345114876952,0.2771394519508485,0.0033654885123047817,2,0.00310721117363191
student,0.85,1000,1.2,4,0.15,0.8532128113463796,0.27263128204194914,0.0032128113463796293,2,0.001649898895065931
uniform,0.85,500,1.2,1,0.15,0.8496511999763241,0.26993381597560084,0.00034880002367587704,2,0.003347255937776857
gaussian,0.85,1000,0.5,1,0.15,0.8489594587249468,0.2675295821098681,0.0010405412750531529,2,0.008333770090652136
uniform,0.85,1000,0.15,3,0.15,0.8487250824740575,0.2777290640161909,0.0012749175259424428,2,0.0010408722347967753
laplace,0.85,1000,1.2,1,0.15,0.8451308335790416,0.2873858578222683,0.00486916642095836,2,0.002191666164161434
mixture,0.85,500,1.2,1,0.15,0.8472073645549668,0.28125419569290533,0.0027926354450331647,2,0.0014279609029618568
