stage,seed,n_chains,arch,region,hp,checkpoint,at_cap,n_params,sq_err,sq_ref,risk
screen,10000,32,bimp,bulk,"{""hidden"": 64, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,8965,51448.10121802246,1083969.239568798,0.21785934642706634
screen,10000,32,bimp,centre,"{""hidden"": 64, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,8965,2011.8293259775014,44414.23562951278,0.2128307968662852
screen,10000,32,bimp,all,"{""hidden"": 64, ""lr"": 0.003, ""parameterization"": ""eps""}",500,False,8965,148277.78929353997,1425250.9359114203,0.3225465372190935
screen,10000,32,bimp,bulk,"{""hidden"": 64, ""lr"": 0.003, ""parameterization"": ""eps""}",500,False,8965,96503.89104087961,1083969.239568798,0.2983760313394551
screen,10000,32,bimp,centre,"{""hidden"": 64, ""lr"": 0.003, ""parameterization"": ""eps""}",500,False,8965,4096.5336113598,44414.23562951278,0.30370165957130035
screen,10000,32,bimp,all,"{""hidden"": 128, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,34309,175743.23703188013,1425250.9359114203,0.3511507847356543
screen,10000,32,bimp,bulk,"{""hidden"": 128, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,34309,129273.73048123487,1083969.239568798,0.3453398226883931
screen,10000,32,bimp,centre,"{""hidden"": 128, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,34309,7282.863223303722,44414.23562951278,0.4049393493534976
screen,10000,32,bimp,all,"{""hidden"": 128, ""lr"": 0.003, ""parameterization"": ""eps""}",64000,True,34309,150540.36969474974,1425250.9359114203,0.3249980997505058
screen,10000,32,bimp,bulk,"{""hidden"": 128, ""lr"": 0.003, ""parameterization"": ""eps""}",64000,True,34309,97746.60970423643,1083969.239568798,0.3002910388966701
screen,10000,32,bimp,centre,"{""hidden"": 128, ""lr"": 0.003, ""parameterization"": ""eps""}",64000,True,34309,2992.7143610839867,44414.23562951278,0.25958018505075126
screen,10000,32,bimp,all,"{""hidden"": 64, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,8965,227498.4094203527,1425250.9359114203,0.39952459033794
screen,10000,32,bimp,bulk,"{""hidden"": 64, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,8965,142423.91317524607,1083969.239568798,0.3624791059282013
screen,10000,32,bimp,centre,"{""hidden"": 64, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,8965,6276.105242001511,44414.23562951278,0.3759101156388238
screen,10000,32,bimp,all,"{""hidden"": 64, ""lr"": 0.003, ""parameterization"": ""x0""}",500,False,8965,374972.82379487285,1425250.9359114203,0.5129254276635848
