family,rho,t,excess_kurtosis,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_rel_q90,score_cosine_median,score_max_abs_median
gauss_mix_kappa0.3,0.85,0.05,-0.18,2.3522345118874704e-05,0.005402163356364216,0.002350275296169819,0.02777371862624354,0.03602002901806284,0.9996223584814428,0.12701428426101435
gauss_mix_kappa0.3,0.85,0.1,-0.18,2.1732446453427932e-05,0.006400538669897878,0.0005415037404643704,0.015628554382286854,0.023420899471798776,0.9998818649702914,0.06650731281482503
gauss_mix_kappa0.3,0.85,0.2,-0.18,1.1292735743826279e-05,0.0041804310047305285,6.964601804378086e-05,0.006271151985969809,0.008030015392982525,0.999981862467414,0.019828482677973824
gauss_mix_kappa0.3,0.85,0.4,-0.18,6.58924295537592e-06,0.00422934142095539,9.763723389549472e-06,0.0028370344287836978,0.005215480170897648,0.9999963144820554,0.008649678939124494
gauss_mix_kappa0.3,0.85,0.8,-0.18,1.729720047928815e-06,0.0018198811658676972,5.48259589839938e-07,0.000671662722270192,0.0007940316457002477,0.9999997976439783,0.0016455347534161113
gauss_mix_kappa0.3,0.85,1.6,-0.18,1.0725273707222733e-07,0.0011768059342448021,4.7513112029262265e-09,8.387898722281878e-05,0.00010798668440010024,0.9999999968061504,0.0001365305549662077
gauss_mix_kappa0.3,0.85,2.4,-0.18,1.930114848210746e-09,0.0002822335130808079,1.6149068721622113e-11,4.09635909677369e-06,6.003114727342131e-06,0.9999999999922433,7.72684125616152e-06
gauss_mix_kappa0.6,0.85,0.02,-0.72,0.0006017886891708059,0.02787785324772342,0.37606778568599175,0.25546106724083206,0.3247448779017848,0.9713622200348085,1.4207702964571556
gauss_mix_kappa0.6,0.85,0.05,-0.72,0.0008546802602888012,0.03415922214424806,0.08539683827140677,0.15416893737356707,0.1685654317468784,0.9884841128881798,0.8070823038518542
gauss_mix_kappa0.6,0.85,0.1,-0.72,0.0004998650197437535,0.028972526703976986,0.01245505325406393,0.07301318915192173,0.08663785933476698,0.9976126169285068,0.2527405326574581
gauss_mix_kappa0.6,0.85,0.2,-0.72,0.0004152407191460423,0.02210672480445884,0.002560926180705878,0.03595407148945729,0.04947017733172169,0.9993627858450564,0.15426839169615247
gauss_mix_kappa0.6,0.85,0.4,-0.72,0.00014094910777349333,0.01562038139383892,0.00020885374991088995,0.012865187735691556,0.02745962217996671,0.9999167850631981,0.04183212169643913
gauss_mix_kappa0.6,0.85,0.8,-0.72,4.150351913164075e-05,0.011397805820403242,1.3155135944267301e-05,0.004201638214660775,0.011246162959145989,0.9999912250532362,0.008242101050794814
gauss_mix_kappa0.6,0.85,1.6,-0.72,2.5602879983184884e-06,0.0038777249278108316,1.134211152199983e-07,0.0003590968346073006,0.0005518464575312395,0.9999999432004816,0.0006254529251064067
gauss_mix_kappa0.6,0.85,2.4,-0.72,4.080901641867747e-08,0.0013087387446471567,3.41444764915518e-10,1.9354158234315785e-05,2.3418229680517344e-05,0.9999999998337377,3.38294249119242e-05
gauss_mix_kappa0.9,0.85,0.02,-1.62,0.00926016687332162,0.10380483865856355,5.786832676983751,0.7139283656218582,0.8322479736688536,0.7032356430706438,4.962233011619219
gauss_mix_kappa0.9,0.85,0.05,-1.62,0.009065954596268546,0.11960260452734542,0.9058403410087588,0.44599029286830605,0.4936860638593689,0.8994545437729835,2.0349958492396025
gauss_mix_kappa0.9,0.85,0.1,-1.62,0.004757003343309798,0.09011089856207471,0.11852945821465273,0.21909483066321306,0.27114021863253174,0.9766557576047479,0.7870266838063598
gauss_mix_kappa0.9,0.85,0.2,-1.62,0.0025271236132624955,0.05631328895480087,0.015585603060300577,0.09958582472875478,0.12166187569308355,0.9953353546992822,0.3813646199307217
gauss_mix_kappa0.9,0.85,0.4,-1.62,0.0006732378796908852,0.03898555244822465,0.000997581736958967,0.02836051752250303,0.03515528839997606,0.9996418241799208,0.07534242780499079
gauss_mix_kappa0.9,0.85,0.8,-1.62,0.00017341552653325656,0.021125395106372267,5.496653956393051e-05,0.007097192672086122,0.01607163526316868,0.9999752850621726,0.019543394324864544
gauss_mix_kappa0.9,0.85,1.6,-1.62,7.985293557975152e-06,0.010865790467301475,3.5374961773813414e-07,0.0006252206218633014,0.0012097528893552647,0.9999998194006788,0.0014167440524630037
gauss_mix_kappa0.9,0.85,2.4,-1.62,2.2136962299819422e-07,0.0023576327956196354,1.852176443279287e-09,4.444142436850597e-05,5.1389362757208406e-05,0.9999999990704155,7.966611299264903e-05
laplace,0.95,0.02,3.0,0.0011522328750104426,0.034654698017386465,0.7200495351563392,0.2697466245401613,0.31638407146776226,0.964780645701938,2.4363361723150327
laplace,0.95,0.05,3.0,0.0012074569415279441,0.04271865093336408,0.12064512303174847,0.12833782888190806,0.18730712632795754,0.9920022968559494,1.1058494124672382
laplace,0.95,0.1,3.0,0.0006921682174298238,0.032233768363345766,0.017246639929472066,0.0646663500720404,0.10392375577765378,0.997910014019584,0.3760942935711544
laplace,0.95,0.2,3.0,0.0005103073441560706,0.026789209845343998,0.0031472333458610934,0.03797779997399732,0.09476271788171677,0.9992885771018403,0.15768352017107512
laplace,0.95,0.4,3.0,0.00016678250382903337,0.01741701534977666,0.0002471328261275562,0.013157990899171478,0.024116237848651252,0.9999269744469419,0.036533187804464795
laplace,0.95,0.8,3.0,7.408318588465004e-05,0.012867932422366626,2.34817288241472e-05,0.004737766371803797,0.006214375374189869,0.9999901887574523,0.010955145965649726
