init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,gauss_mix_kappa0.3,0.5,0.2,-0.18,11,8.367018486438234e-05,0.011753873662076433,0.0005160215679337949,0.021836256254373076,0.9997715456331404,0.060512960242030234
invariant,gauss_mix_kappa0.3,0.5,0.4,-0.18,11,0.00011599697021105209,0.014772957059488266,0.00017188049353112733,0.010412568631321898,0.9999494716572621,0.04860077563063192
invariant,gauss_mix_kappa0.3,0.5,0.8,-0.18,11,1.0407924981679217e-05,0.007124000579031007,3.2989411716497906e-06,0.0018294770255103802,0.999998684209912,0.004185824806548277
invariant,gauss_mix_kappa0.3,0.5,1.6,-0.18,11,1.5951597228040686e-07,0.0016767303293508022,7.066579807946952e-09,8.409017084828332e-05,0.999999996882208,0.00016313679154777994
invariant,gauss_mix_kappa0.3,0.5,2.4,-0.18,11,1.874317286095084e-09,0.0004101269864026796,1.5682216365179597e-11,4.0964173617830075e-06,0.9999999999924609,1.4063195787006322e-05
invariant,gauss_mix_kappa0.6,0.5,0.02,-0.72,12,0.0004902292182772046,0.023295581621365982,0.30635241225638365,0.4080668195546795,0.9137927159240891,1.1666873795409947
invariant,gauss_mix_kappa0.6,0.5,0.05,-0.72,12,0.0016705207563325161,0.04277213035040794,0.16691293514764377,0.3248806169204217,0.9464111674955293,0.958391672392926
invariant,gauss_mix_kappa0.6,0.5,0.1,-0.72,12,0.002778306933582413,0.05405747392417761,0.06922661007894318,0.21074369032234774,0.9794283224489982,0.5792063506224244
invariant,gauss_mix_kappa0.6,0.5,0.2,-0.72,12,0.0028217936422078823,0.05997815623374067,0.01740293011181788,0.12015259022284072,0.9928301646427382,0.38496991750158405
invariant,gauss_mix_kappa0.6,0.5,0.4,-0.72,12,0.001200571821947047,0.04854786209170883,0.0017789678204557253,0.04046818619164577,0.9993930078360989,0.11171205954197727
invariant,gauss_mix_kappa0.6,0.5,0.8,-0.72,12,0.00023166523648546146,0.02775871476740624,7.342962098854107e-05,0.007903007489378774,0.9999688180647224,0.02664507138739769
invariant,gauss_mix_kappa0.6,0.5,1.6,-0.72,12,2.333503494923372e-06,0.007961293674121,1.033745301066818e-07,0.0003600258770295098,0.999999953706677,0.0007344007238240247
invariant,gauss_mix_kappa0.6,0.5,2.4,-0.72,12,2.419427609581025e-08,0.001647686587840267,2.0243097331865218e-10,1.564094681931216e-05,0.9999999999267951,2.830745691351222e-05
invariant,gauss_mix_kappa0.9,0.5,0.02,-1.62,13,0.011173464263748295,0.10223440159448832,6.9824841173057255,0.9126021360744166,0.41033222769425487,5.745927028134187
invariant,gauss_mix_kappa0.9,0.5,0.05,-1.62,13,0.02664373284065315,0.17011334500126735,2.6621540827104084,0.8219018792065145,0.5718592166506536,3.517807694940168
invariant,gauss_mix_kappa0.9,0.5,0.1,-1.62,13,0.037966565449388104,0.21129476243657447,0.9460065735114734,0.6289927966503261,0.777639773756982,2.0668137061117706
invariant,gauss_mix_kappa0.9,0.5,0.2,-1.62,13,0.025201605489242117,0.19620603131072106,0.1554265955081403,0.3333759549347315,0.9445387560715532,1.030250925915472
invariant,gauss_mix_kappa0.9,0.5,0.4,-1.62,13,0.0077595004404584335,0.13183315527588357,0.011497772423144887,0.10735114028208323,0.9943708316368784,0.28547128434778124
invariant,gauss_mix_kappa0.9,0.5,0.8,-1.62,13,0.0010896539797030788,0.06791263740344614,0.00034538146487625757,0.019811723562345444,0.9998209788794232,0.06863347509506657
invariant,gauss_mix_kappa0.9,0.5,1.6,-1.62,13,1.1577744941236597e-05,0.01627429873510223,5.12895714790744e-07,0.00068492218524742,0.9999998056301483,0.0019890042691637078
invariant,gauss_mix_kappa0.9,0.5,2.4,-1.62,13,1.1530795501289007e-07,0.003403647355025685,9.647695790628711e-10,3.4000369517830796e-05,0.9999999995313866,7.214307706226997e-05
invariant,laplace,0.85,0.02,3.0,58,0.0012361764096929908,0.03700026043350721,0.7725072495979635,0.3589935071148178,0.9480840694338645,1.6942065970947657
invariant,laplace,0.85,0.05,3.0,58,0.0028677885278379934,0.06511847221949646,0.2865399898502673,0.26574210759630046,0.9660614326661273,1.5034486526377435
invariant,laplace,0.85,0.1,3.0,58,0.001824157683028536,0.05261764849988891,0.04545223247983486,0.14142320001279096,0.9921943192555156,0.5174185273188516
invariant,laplace,0.85,0.2,3.0,58,0.0029659659545842694,0.08097394490539792,0.0182920882128271,0.09636972924855217,0.9954161961989443,0.5004995098041867
invariant,laplace,0.85,0.4,3.0,58,0.0011136272451528857,0.04479102749209686,0.0016501362075088911,0.036224375677523526,0.9994040551265846,0.09076779742541208
invariant,laplace,0.85,0.8,3.0,58,0.0004753234245896256,0.05705636107746466,0.00015066058008570625,0.012637862916457989,0.9999385606874787,0.02767802912346462
invariant,laplace,0.85,1.6,3.0,58,3.235894192353359e-05,0.015484649181597705,1.4335056379269686e-06,0.0011727118675315226,0.9999993633792548,0.002316879831829155
invariant,laplace,0.85,2.4,3.0,58,6.383996888536358e-07,0.0039972485567004515,5.341423313084107e-09,6.953188473854958e-05,0.9999999977067349,0.00014036988197374534
invariant,student_t_nu5,0.85,0.02,6.0,77,0.000569178593860272,0.030626398905857423,0.3556891934074642,0.261237296410359,0.9667640780892242,1.8025040482043446
invariant,student_t_nu5,0.85,0.05,6.0,77,0.0011499758352032014,0.05276881220266042,0.11490180009737207,0.17887782379221692,0.985099571592288,0.9977928098947663
invariant,student_t_nu5,0.85,0.1,6.0,77,0.0011785835322012292,0.04483362607819426,0.02936656912991065,0.1018018885478022,0.9959263192300654,0.4666620090267021
invariant,student_t_nu5,0.85,0.2,6.0,77,0.0009525923941633516,0.04606795760337433,0.0058749508159295725,0.06470527088638045,0.9984295789006927,0.18586380860981805
invariant,student_t_nu5,0.85,0.4,6.0,77,0.0007355045753269195,0.05694111764918848,0.00108984647764143,0.025731215134862963,0.9997413899340029,0.074053699916517
invariant,student_t_nu5,0.85,0.8,6.0,77,0.0005486633422049263,0.039315699082906067,0.00017390671936634106,0.012344905639039618,0.9999285467846052,0.03176362053245674
