n_chains,t,em_bp_score_rel_l2,em_bp_mean_rel_l2,net_score_rel_l2_selected,net_mean_rel_l2_selected,net_score_rel_l2_oracle,net_mean_rel_l2_oracle,mode_selected,mode_oracle,selection_agrees,ratio_selected,ratio_oracle,seed
128,1.6,0.0104033302076072,0.1279973401571252,0.0426688095526024,0.5249755627683941,0.0426688095526024,0.5249755627683941,x0,x0,1,4.101456812492758,4.101456812492758,11
256,0.1,0.0586432362605197,0.0195697311113932,0.7724452762597505,0.2577713529914122,0.7724452762597505,0.2577713529914122,eps,eps,1,13.1719414806543,13.1719414806543,11
256,0.2,0.0430937717629074,0.0256012031922764,0.5559645364874047,0.3302881248042683,0.5559645364874047,0.3302881248042683,eps,eps,1,12.901273519203672,12.901273519203672,11
256,0.4,0.0265171200402785,0.0305782270913623,0.324725016531519,0.3744567767036773,0.324725016531519,0.3744567767036773,x0,x0,1,12.245862900581722,12.245862900581722,11
256,0.8,0.0148144051576962,0.0409741960644378,0.1390158574988345,0.3844948845795557,0.1390158574988345,0.3844948845795557,x0,x0,1,9.383829861478718,9.383829861478718,11
256,1.6,0.0079969268851896,0.0983901645250872,0.0365084594153353,0.4491817144264287,0.0365084594153353,0.4491817144264287,x0,x0,1,4.56531114257765,4.56531114257765,11
512,0.1,0.037063257898976,0.0123683145311591,0.5305621574039077,0.177052963314463,0.5305621574039077,0.177052963314463,eps,eps,1,14.31504372470629,14.31504372470629,11
512,0.2,0.0243832847378317,0.0144856530661276,0.390020406923848,0.2317038235067242,0.390020406923848,0.2317038235067242,eps,eps,1,15.995400583528172,15.995400583528172,11
512,0.4,0.0130090628429325,0.0150014057805961,0.2659814912802568,0.3067166581481252,0.2659814912802568,0.3067166581481252,eps,eps,1,20.44586105022595,20.44586105022595,11
512,0.8,0.011012478534857,0.0304586954278233,0.1173312493857155,0.3245188426832096,0.1173312493857155,0.3245188426832096,x0,x0,1,10.654390745401695,10.654390745401695,11
512,1.6,0.0053062632033647,0.0652855924641968,0.0347390636604203,0.4274119593773378,0.0347390636604203,0.4274119593773378,x0,x0,1,6.546803716482074,6.546803716482074,11
1024,0.1,0.0423352836704634,0.0141276329681909,0.3567174810370479,0.119039562475993,0.3567174810370479,0.119039562475993,eps,eps,1,8.42600899556328,8.42600899556328,11
1024,0.2,0.0251452491680295,0.0149383218719611,0.2586039453441913,0.1536317634832693,0.2586039453441913,0.1536317634832693,eps,eps,1,10.284405758563269,10.284405758563269,11
1024,0.4,0.011192901218997,0.0129070983110458,0.1920845984485125,0.2215024279857682,0.1920845984485125,0.2215024279857682,eps,eps,1,17.16128773856221,17.16128773856221,11
1024,0.8,0.0043507434063028,0.0120334371483893,0.0940063544521744,0.2600060385566922,0.0940063544521744,0.2600060385566922,x0,x0,1,21.606963609021093,21.606963609021093,11
1024,1.6,0.0016139007723154,0.0198566230246983,0.026171554664369,0.3220016396640473,0.026171554664369,0.3220016396640473,x0,x0,1,16.21633443227131,16.21633443227131,11
2048,0.1,0.0332842965534799,0.0111072439946837,0.2574783900804447,0.0859226601766005,0.2574783900804447,0.0859226601766005,eps,eps,1,7.735731763678347,7.735731763678347,11
2048,0.2,0.0184018463427545,0.0109321924737952,0.1913269464154128,0.1136637576837691,0.1913269464154128,0.1136637576837691,eps,eps,1,10.397160309446088,10.397160309446088,11
2048,0.4,0.0077559620098963,0.0089437905507969,0.1594099130665576,0.1838236020713933,0.1594099130665576,0.1838236020713933,eps,eps,1,20.553209629334845,20.553209629334845,11
2048,0.8,0.0043441890228942,0.0120153088072236,0.0784882066091508,0.2170854065428815,0.0784882066091508,0.2170854065428815,x0,x0,1,18.067401348217427,18.067401348217427,11
2048,1.6,0.0021616476370852,0.0265958248351594,0.0245149078839516,0.3016190912644744,0.0245149078839516,0.3016190912644744,x0,x0,1,11.34084365248702,11.34084365248702,11
4096,0.1,0.0341946276664634,0.0114110289874539,0.2184901808260099,0.0729119735181343,0.2184901808260099,0.0729119735181343,eps,eps,1,6.389605494675268,6.389605494675268,11
4096,0.2,0.0181998718661819,0.0108122032177413,0.157006579532082,0.0932746701133488,0.157006579532082,0.0932746701133488,eps,eps,1,8.626795874526115,8.626795874526115,11
4096,0.4,0.007166725984991,0.0082643128038696,0.1370240055274642,0.1580092842519289,0.1370240055274642,0.1580092842519289,eps,eps,1,19.11947042686268,19.11947042686268,11
4096,0.8,0.0038783873281437,0.0107269783096646,0.065297014291745,0.1806007489016466,0.065297014291745,0.1806007489016466,x0,x0,1,16.83612511259873,16.83612511259873,11
4096,1.6,0.0019141631876047,0.0235509006972529,0.0211901170584109,0.2607125379055479,0.0211901170584109,0.2607125379055479,x0,x0,1,11.070172697724376,11.070172697724376,11
32,0.1,0.1505151275743716,0.0502281381904315,1.3882494763728113,0.4632702882811136,1.3882494763728113,0.4632702882811136,eps,eps,1,9.223321926142326,9.223321926142326,2
32,0.2,0.0992052920601223,0.0589360071277493,0.8967772743617299,0.5327585931782337,0.8967772743617299,0.5327585931782337,eps,eps,1,9.039611251970786,9.039611251970786,2
