seed,n_chains,n_components,inits_tried,val_log_evidence_per_edge,test_log_evidence_per_edge,schedule_score_risk,hellinger_weighted_mean_sq,hellinger_weighted_mean,s_min_over_h,effective_n_components,em_iters_used,em_converged
5,128,4,2,-1.3483520441435244,-1.3577522564594535,0.43967305017461045,0.10275249676940157,0.30775889935571815,3.7619283389727403,3.235879259056309,1201,False
5,128,8,2,-1.348397183313278,-1.3578097337658703,0.44058008219472994,0.09965444516230994,0.3026338443477222,3.403776636763646,6.766416764861888,1201,False
5,128,16,2,-1.348574961594535,-1.3580855945693777,0.4434735222441814,0.09637112223262093,0.2969217361244849,3.2072661011292714,11.82028812299176,1201,False
6,128,1,2,-1.3802690580808163,-1.3739603820543507,0.40178297174743205,0.08847718689595221,0.2923581613358384,20.026890843842732,1.0,37,True
6,128,2,2,-1.3811383115707967,-1.3733402348613017,0.3209256789478944,0.07441426716252669,0.2666589218179322,2.034454875842942,1.3275400010244645,1201,False
6,128,4,2,-1.3913625425252427,-1.3833213186680602,0.451963556104456,0.1446066887973058,0.3786323456315913,2.966102213018505,3.5396785602512937,1201,False
6,128,8,2,-1.3910408682565787,-1.382991646406174,0.4590196924121802,0.1476014478478854,0.38257304931749664,1.4761558692646288,5.898156890893627,1201,False
6,128,16,2,-1.3912111614081475,-1.3831425434693174,0.46109440393835355,0.15004905369121407,0.38579409030309,1.3960600531691765,8.311757831867512,1201,False
7,128,1,2,-1.3285541696602106,-1.3240470856213358,0.23167284050015224,0.02548697401436774,0.15434112566008018,11.889400086901633,1.0,77,True
7,128,2,2,-1.3279043032883593,-1.3226771194046214,0.32862632579837486,0.049047883633518266,0.2193433444391253,2.412848696902554,1.3652898184160824,1201,False
7,128,4,2,-1.3271393325529672,-1.3220184412521956,0.3359964559757597,0.08338930936653413,0.28742623670437345,2.2658013984651926,3.7254610252125184,1201,False
7,128,8,2,-1.3287840074408657,-1.3234439056212677,0.3586375855057928,0.09601141801194905,0.3086634465370268,2.2205580449257543,5.7071462654657505,1201,False
7,128,16,2,-1.328638724610428,-1.323326872315219,0.35503862104172024,0.09172548156849997,0.30163044976462167,2.1342890661215916,13.250892301735915,1201,False
8,128,1,2,-1.3813011827783688,-1.3958948554327135,0.35938373891958114,0.04853515381022808,0.2126091714745729,10.154613137404343,1.0,105,True
8,128,2,2,-1.4668490541270844,-1.4891357267629253,0.6341342683547703,0.11703162744980822,0.33907360722501434,3.6579294468098014,1.6680877482403795,1201,False
8,128,4,2,-1.564846591852124,-1.5987290136010563,1.1494088769559117,0.183490188889759,0.4268055506690825,1.9346912388785424,2.7078898242809943,1201,False
8,128,8,2,-1.5556032353184102,-1.587696889868933,1.0617991291375837,0.1843753469696267,0.4278706378500994,1.7771189361906194,5.944485930410479,1201,False
8,128,16,2,-1.5563833359979664,-1.5885211847149598,1.065596264582419,0.1849680067817806,0.42856395126951197,1.5840142704742162,12.342498613168393,1201,False
9,128,1,2,-1.3036314136530285,-1.3018918751545978,0.1907834565801971,0.01633424864366198,0.12733287080642516,11.896366300306475,1.0,84,True
9,128,2,2,-1.333532230862136,-1.329139532293441,0.4849996583177603,0.08981132863855196,0.29895622184215526,0.7422875197920007,1.1423626862113456,1201,False
9,128,4,2,-1.3417282893967075,-1.3363968371819188,0.5705058475913886,0.1443357129548632,0.3797214080806385,0.7030059848134057,3.0062943518659675,1201,False
9,128,8,2,-1.3417344117159002,-1.3364257375874422,0.5719729942045002,0.14584527720960244,0.38163883905172413,0.6938951020348647,6.718701816297162,1201,False
9,128,16,2,-1.3415735834307903,-1.3362452236822073,0.5677950372359569,0.14552167255648935,0.3812041717932034,0.6908573066941225,13.293694677146265,1201,False
10,128,1,2,-1.3024579565359364,-1.3009593520416247,0.19779815383711533,0.02237875878497505,0.14957361487029397,15.127823283736685,1.0,50,True
10,128,2,2,-1.3080859488729129,-1.3067713368508014,0.30596016955399163,0.052998769253465375,0.23013404239303645,8.041523642775106,1.999910464021579,1201,False
10,128,4,2,-1.3082578966795184,-1.3069595221079944,0.3090005823868553,0.052549057765737636,0.22919118059757673,6.805366020841557,3.860382636441569,1201,False
10,128,8,2,-1.3084765277198307,-1.3071699507111798,0.31260923710125255,0.04967355268250271,0.2228146746967658,4.03573319067932,7.829480154325502,1201,False
10,128,16,2,-1.3085545959538065,-1.307241766902257,0.31384668577439245,0.05007563362906795,0.2237119787779813,3.3902086071793796,14.5885676777976,1201,False
11,128,1,2,-1.3185724773528111,-1.326192689407714,0.3020734493484862,0.025017745984006693,0.15790740860594327,9.607231307571757,1.0,124,True
11,128,2,2,-1.3186732177169598,-1.3263308966540404,0.3142873571601711,0.02797074225145286,0.16695217734169698,7.176848022185055,1.9819457597560646,1201,False
11,128,4,2,-1.318696305174504,-1.3264174879848902,0.3177545507962727,0.027875860623164626,0.16667371004341963,7.207193835725685,3.71420943105644,1201,False
11,128,8,2,-1.3186919885883657,-1.3264001132039525,0.31719764085735985,0.027863695158362727,0.166635955749323,7.173352576991604,7.616640677976358,1201,False
11,128,16,2,-1.3187142189747898,-1.3264163712891646,0.31719619502939445,0.027914167990384472,0.16678765764236528,6.923317695542364,15.320440481180903,1201,False
12,128,1,2,-1.3169829802169595,-1.314599276416024,0.19368603423508987,0.02174271946030474,0.145225655111404,12.836618925996424,1.0,59,True
12,128,2,2,-1.3217362918323905,-1.3191314455037855,0.28616546623610734,0.04982586935448961,0.22294775123646218,3.173282730032227,1.6897769502773203,1201,False
12,128,4,2,-1.3207861106091385,-1.3183536923509096,0.3022427547890202,0.06881092390293339,0.26208664336040083,3.3579230051313447,3.7547651903868062,1201,False
12,128,8,2,-1.3209461661061712,-1.3184615260771297,0.30443957789574266,0.06925779051637809,0.26303325505804853,3.110359944814049,6.713622546801837,1201,False
12,128,16,2,-1.3210813864619937,-1.3186151902902574,0.3097277313576041,0.06891424589169934,0.2623262204425817,2.916105866775981,11.721593444467162,1201,False
13,128,1,2,-1.345493400858971,-1.3531189380941684,0.3484608247547931,0.06300681212132299,0.23594152338107544,15.625100730706091,1.0,46,True
13,128,2,2,-1.351250887812231,-1.3598819182904054,0.42161220374174385,0.07460421288175575,0.2596981095934022,5.317402646049987,1.4837429932696287,1201,False
13,128,4,2,-1.3537401365457724,-1.3626341496039691,0.447045820304313,0.08116176718764231,0.2742611713210453,3.519793809372087,3.6700972368545255,1201,False
13,128,8,2,-1.3548358623847385,-1.3638639649836526,0.4599895436812246,0.08300051247143872,0.2777106814765185,3.1697464903414385,7.565807477229811,1201,False
13,128,16,2,-1.3579940312741365,-1.3673449938684101,0.5005004590560338,0.08772135298842346,0.28522893773529373,2.9165739147068503,14.966174346969966,1201,False
14,128,1,2,-1.3072811813276326,-1.3104076252974393,0.1914437542455848,0.016651127914973897,0.12860663629240032,11.858810917700726,1.0,68,True
14,128,2,2,-1.3178732789358696,-1.321761639209885,0.3495601222249786,0.055642834975415376,0.23470365196518703,6.010598015741796,1.6030748977278002,1201,False
14,128,4,2,-1.3178101861175078,-1.3216414429337606,0.34736360511319814,0.054896535456600906,0.2331498983315105,4.944178147801602,3.411097428735058,1201,False
14,128,8,2,-1.3178062147214236,-1.321631565749552,0.3469787740557935,0.054438671728542845,0.23220153658655748,4.078984111006584,6.7546947085217415,1201,False
14,128,16,2,-1.3177643005035453,-1.3215933041669055,0.3468620298652423,0.05453185017929414,0.23236742696024582,4.2974526357169385,13.54031581337936,1201,False
15,128,1,2,-1.362516810820494,-1.3607668875691,0.3258264536565995,0.04884580474154199,0.20342266544408144,12.419709005279724,1.0,75,True
15,128,2,2,-1.377367157942841,-1.3745229157295067,0.5287209997353836,0.10388982837356231,0.3146100776476145,5.735093689905439,1.7036586275402292,1201,False
15,128,4,2,-1.3770844418226407,-1.374221718187514,0.5245530222693099,0.10054578776692624,0.3091421177853596,5.559201112248446,3.518922201056114,1201,False
15,128,8,2,-1.3764639036084794,-1.373620186573363,0.5136887305739677,0.09876818444549726,0.30636990769782924,4.618413668586253,6.847667349722779,1201,False
15,128,16,2,-1.377553161443494,-1.3746580533450454,0.5285507274606918,0.09744654654002283,0.30464184764740826,4.09617151373868,13.628252120875043,1201,False
0,512,1,2,-1.3132046023239574,-1.3082424040515759,0.20289288548675377,0.024118857888776688,0.1531509602521177,14.09909242289047,1.0,61,True
0,512,2,2,-1.30727982822942,-1.303537360628359,0.14458990267439448,0.017447289288496013,0.12693801732112073,4.284348214918234,1.9968374845516517,1201,False
0,512,4,2,-1.3089925952528167,-1.3051773883683093,0.19991385244159646,0.027772641280258657,0.16475564028473175,2.7970671641954574,2.6605451748416162,1201,False
0,512,8,2,-1.3090396022930066,-1.305216426303075,0.20141932594960615,0.028156329073634155,0.16593637313986287,2.570022999472039,6.4191631453515505,1201,False
